""
"Test Method","SMA-CFTC.msm"
"Sample I. D.","Sample89.mss"
"Specimen Number","1"

"Time (h)","Load (N)","Crosshead (in)","Temperature Chamber (C)","Extension (mm)","Stress (MPa)"

0.001,3.737,0.00015,49.20,-0.259,8.193
0.001,3.775,0.00024,49.30,-0.256,8.278
0.001,3.778,0.00034,49.40,-0.254,8.285
0.001,3.776,0.00044,49.40,-0.251,8.281
0.002,3.780,0.00054,49.50,-0.249,8.288
0.002,3.826,0.00063,49.50,-0.246,8.389
0.002,3.843,0.00073,49.50,-0.244,8.427
0.003,3.863,0.00083,49.60,-0.241,8.471
0.003,3.881,0.00093,49.60,-0.239,8.510
0.003,3.895,0.00103,49.60,-0.236,8.541
0.003,3.922,0.00112,49.70,-0.234,8.600
0.004,3.967,0.00122,49.70,-0.232,8.700
0.004,3.978,0.00132,49.70,-0.229,8.723
0.004,3.991,0.00141,49.70,-0.227,8.752
0.004,4.020,0.00151,49.80,-0.224,8.815
0.005,4.041,0.00161,49.80,-0.222,8.861
0.005,4.091,0.00171,49.80,-0.219,8.970
0.005,4.019,0.00181,49.80,-0.217,8.813
0.006,4.064,0.00191,49.80,-0.214,8.913
0.006,4.063,0.00200,49.80,-0.212,8.910
0.006,4.108,0.00211,49.80,-0.209,9.008
0.006,4.121,0.00220,49.80,-0.207,9.037
0.007,4.118,0.00230,49.90,-0.204,9.030
0.007,4.153,0.00240,49.90,-0.202,9.107
0.007,4.165,0.00250,49.90,-0.199,9.132
0.008,4.140,0.00260,49.90,-0.197,9.079
0.008,4.177,0.00270,49.80,-0.194,9.159
0.008,4.234,0.00280,49.80,-0.192,9.283
0.008,4.245,0.00289,49.90,-0.189,9.309
0.009,4.186,0.00299,49.90,-0.187,9.179
0.009,4.225,0.00309,49.90,-0.184,9.265
0.009,4.259,0.00319,49.90,-0.182,9.339
0.009,4.288,0.00328,49.90,-0.179,9.402
0.010,4.335,0.00338,49.90,-0.177,9.506
0.010,4.366,0.00348,49.90,-0.174,9.575
0.010,4.371,0.00358,49.90,-0.172,9.584
0.011,4.425,0.00368,49.90,-0.169,9.703
0.011,4.369,0.00378,49.90,-0.167,9.581
0.011,4.402,0.00387,50.00,-0.164,9.653
0.011,4.459,0.00397,50.00,-0.162,9.777
0.012,4.496,0.00407,50.00,-0.159,9.858
0.012,4.520,0.00417,50.00,-0.157,9.912
0.012,4.548,0.00427,50.00,-0.154,9.973
0.013,4.525,0.00437,50.00,-0.152,9.922
0.013,4.602,0.00447,50.00,-0.149,10.092
0.013,4.581,0.00457,50.00,-0.147,10.045
0.013,4.628,0.00467,50.00,-0.144,10.148
0.014,4.549,0.00476,50.00,-0.142,9.975
0.014,4.523,0.00486,50.00,-0.139,9.918
0.014,4.580,0.00496,50.10,-0.137,10.043
0.014,4.640,0.00506,50.10,-0.134,10.175
0.015,4.657,0.00516,50.10,-0.131,10.213
0.015,4.664,0.00526,50.10,-0.129,10.227
0.015,4.694,0.00535,50.10,-0.127,10.292
0.016,4.728,0.00545,50.10,-0.124,10.367
0.016,4.786,0.00555,50.20,-0.122,10.495
0.016,4.824,0.00565,50.20,-0.119,10.577
0.016,4.818,0.00575,50.20,-0.117,10.565
0.017,4.875,0.00585,50.20,-0.114,10.691
0.017,4.875,0.00594,50.20,-0.112,10.689
0.017,4.825,0.00604,50.20,-0.109,10.580
0.018,4.899,0.00615,50.20,-0.106,10.743
0.018,4.903,0.00624,50.20,-0.104,10.752
0.018,4.987,0.00634,50.20,-0.102,10.935
0.018,5.029,0.00644,50.10,-0.099,11.028
0.019,5.122,0.00654,50.10,-0.097,11.232
0.019,5.235,0.00663,50.10,-0.094,11.479
0.019,5.279,0.00673,50.10,-0.092,11.576
0.019,5.327,0.00683,50.10,-0.089,11.680
0.020,5.403,0.00693,50.10,-0.087,11.848
0.020,5.272,0.00703,50.10,-0.084,11.561
0.020,5.386,0.00713,50.10,-0.082,11.811
0.021,5.333,0.00722,50.10,-0.079,11.694
0.021,5.248,0.00732,50.00,-0.077,11.507
0.021,5.353,0.00742,50.00,-0.074,11.737
0.021,5.422,0.00752,50.00,-0.072,11.889
0.022,5.519,0.00762,50.00,-0.069,12.101
0.022,5.555,0.00772,50.00,-0.067,12.180
0.022,5.580,0.00781,50.00,-0.064,12.236
0.023,5.640,0.00791,50.00,-0.062,12.368
0.023,5.733,0.00801,50.00,-0.059,12.571
0.023,5.812,0.00811,50.00,-0.057,12.744
0.023,5.906,0.00820,50.00,-0.054,12.951
0.024,5.994,0.00830,50.00,-0.052,13.143
0.024,6.072,0.00840,49.90,-0.049,13.314
0.024,6.149,0.00850,49.90,-0.047,13.483
0.024,5.948,0.00860,49.90,-0.044,13.043
0.025,5.879,0.00870,49.90,-0.042,12.892
0.025,5.988,0.00880,49.90,-0.039,13.131
0.025,6.064,0.00889,49.90,-0.037,13.298
0.026,6.171,0.00900,49.90,-0.034,13.533
0.026,6.249,0.00909,49.80,-0.032,13.704
0.026,6.331,0.00919,49.80,-0.029,13.882
0.026,6.401,0.00929,49.80,-0.027,14.037
0.027,6.363,0.00939,49.80,-0.024,13.953
0.027,6.464,0.00949,49.80,-0.022,14.174
0.027,6.573,0.00959,49.80,-0.019,14.412
0.028,6.664,0.00969,49.70,-0.017,14.613
0.028,6.762,0.00978,49.70,-0.014,14.828
0.028,6.872,0.00988,49.70,-0.012,15.068
0.028,6.898,0.00998,49.70,-0.009,15.126
0.029,6.854,0.01008,49.70,-0.007,15.030
0.029,6.922,0.01018,49.70,-0.004,15.179
0.029,6.984,0.01028,49.70,-0.002,15.315
0.029,7.130,0.01037,49.70,0.001,15.635
0.030,7.136,0.01047,49.60,0.003,15.647
0.030,7.166,0.01057,49.60,0.006,15.714
0.030,7.271,0.01067,49.60,0.008,15.945
0.031,7.348,0.01077,49.60,0.011,16.113
0.031,7.437,0.01087,49.60,0.013,16.308
0.031,7.574,0.01096,49.60,0.016,16.608
0.031,7.696,0.01107,49.60,0.019,16.875
0.032,7.840,0.01117,49.60,0.021,17.192
0.032,7.973,0.01126,49.60,0.024,17.482
0.032,7.906,0.01136,49.60,0.026,17.337
0.033,8.067,0.01146,49.60,0.029,17.688
0.033,8.174,0.01156,49.60,0.031,17.924
0.033,8.334,0.01166,49.60,0.034,18.275
0.033,8.491,0.01176,49.60,0.036,18.619
0.034,8.532,0.01185,49.60,0.039,18.709
0.034,8.465,0.01195,49.60,0.041,18.563
0.034,8.618,0.01205,49.60,0.044,18.897
0.034,8.774,0.01215,49.60,0.046,19.240
0.035,8.945,0.01224,49.60,0.048,19.616
0.035,9.088,0.01234,49.60,0.051,19.927
0.035,9.192,0.01244,49.60,0.053,20.156
0.036,9.067,0.01254,49.60,0.056,19.882
0.036,9.249,0.01263,49.60,0.058,20.281
0.036,9.386,0.01273,49.60,0.061,20.581
0.036,9.507,0.01282,49.60,0.063,20.847
0.037,9.672,0.01292,49.60,0.066,21.209
0.037,9.778,0.01302,49.60,0.068,21.441
0.037,9.968,0.01312,49.60,0.071,21.858
0.038,10.093,0.01322,49.60,0.073,22.133
0.038,10.194,0.01331,49.60,0.076,22.354
0.038,10.327,0.01341,49.60,0.078,22.646
0.038,10.517,0.01351,49.60,0.081,23.063
0.039,10.694,0.01361,49.50,0.083,23.450
0.039,10.868,0.01371,49.50,0.086,23.832
0.039,11.007,0.01381,49.50,0.088,24.137
0.039,11.204,0.01391,49.50,0.091,24.568
0.040,11.420,0.01400,49.60,0.093,25.043
0.040,11.592,0.01411,49.60,0.096,25.418
0.040,11.648,0.01420,49.60,0.098,25.543
0.041,11.793,0.01430,49.60,0.101,25.860
0.041,11.938,0.01440,49.60,0.103,26.177
0.041,12.125,0.01450,49.60,0.106,26.589
0.041,12.335,0.01460,49.60,0.108,27.048
0.042,12.531,0.01470,49.60,0.111,27.479
0.042,12.760,0.01480,49.50,0.113,27.981
0.042,12.985,0.01490,49.50,0.116,28.475
0.043,13.163,0.01500,49.50,0.118,28.863
0.043,13.372,0.01509,49.50,0.121,29.322
0.043,13.333,0.01519,49.60,0.123,29.238
0.043,13.532,0.01529,49.60,0.126,29.674
0.044,13.685,0.01539,49.50,0.128,30.009
0.044,13.901,0.01549,49.50,0.131,30.482
0.044,14.140,0.01559,49.50,0.133,31.007
0.044,14.364,0.01569,49.50,0.136,31.498
0.045,14.503,0.01579,49.50,0.138,31.802
0.045,14.723,0.01589,49.50,0.141,32.284
0.045,14.974,0.01598,49.50,0.143,32.836
0.046,15.198,0.01608,49.50,0.146,33.325
0.046,15.412,0.01618,49.50,0.148,33.795
0.046,15.542,0.01628,49.50,0.151,34.081
0.046,15.763,0.01637,49.50,0.153,34.564
0.047,16.028,0.01647,49.50,0.156,35.147
0.047,16.270,0.01657,49.60,0.158,35.676
0.047,16.452,0.01667,49.60,0.161,36.077
0.048,16.682,0.01677,49.60,0.163,36.580
0.048,16.918,0.01687,49.60,0.166,37.098
0.048,17.114,0.01696,49.60,0.168,37.528
0.048,17.374,0.01706,49.60,0.171,38.097
0.049,17.506,0.01716,49.60,0.173,38.388
0.049,17.742,0.01726,49.60,0.176,38.905
0.049,17.996,0.01736,49.60,0.178,39.461
0.049,18.114,0.01746,49.70,0.181,39.721
0.050,18.352,0.01756,49.70,0.183,40.242
0.050,18.568,0.01765,49.70,0.186,40.717
0.050,18.795,0.01775,49.70,0.188,41.214
0.051,19.031,0.01785,49.70,0.191,41.731
0.051,19.233,0.01795,49.70,0.193,42.175
0.051,19.451,0.01805,49.70,0.196,42.653
0.051,19.691,0.01815,49.70,0.198,43.178
0.052,19.918,0.01825,49.70,0.201,43.676
0.052,20.165,0.01835,49.70,0.203,44.217
0.052,20.394,0.01844,49.70,0.206,44.720
0.053,20.642,0.01854,49.70,0.208,45.263
0.053,20.877,0.01865,49.70,0.211,45.780
0.053,21.126,0.01874,49.70,0.213,46.325
0.053,21.374,0.01884,49.60,0.216,46.870
0.054,21.586,0.01894,49.60,0.218,47.333
0.054,21.723,0.01904,49.60,0.221,47.634
0.054,21.976,0.01913,49.70,0.223,48.188
0.054,22.227,0.01923,49.60,0.226,48.740
0.055,22.460,0.01933,49.60,0.228,49.250
0.055,22.703,0.01943,49.70,0.231,49.784
0.055,22.929,0.01953,49.60,0.233,50.278
0.056,23.161,0.01963,49.60,0.236,50.788
0.056,23.415,0.01972,49.70,0.238,51.345
0.056,23.639,0.01982,49.70,0.241,51.836
0.056,23.897,0.01992,49.70,0.243,52.400
0.057,24.013,0.02002,49.70,0.246,52.657
0.057,24.281,0.02011,49.70,0.248,53.244
0.057,24.510,0.02021,49.70,0.251,53.745
0.058,24.763,0.02031,49.70,0.253,54.300
0.058,24.989,0.02041,49.70,0.256,54.796
0.058,25.234,0.02051,49.70,0.258,55.334
0.058,25.453,0.02061,49.70,0.261,55.813
0.059,25.700,0.02070,49.70,0.263,56.356
0.059,25.955,0.02080,49.70,0.266,56.913
0.059,26.188,0.02090,49.70,0.268,57.425
0.059,26.436,0.02100,49.70,0.271,57.969
0.060,26.664,0.02110,49.70,0.273,58.468
0.060,26.915,0.02120,49.70,0.276,59.019
0.060,27.189,0.02130,49.70,0.278,59.620
0.061,27.421,0.02139,49.70,0.281,60.130
0.061,27.658,0.02149,49.70,0.283,60.648
0.061,27.907,0.02159,49.70,0.286,61.195
0.061,28.158,0.02169,49.70,0.288,61.744
0.062,28.409,0.02179,49.70,0.291,62.295
0.062,28.662,0.02189,49.70,0.293,62.850
0.062,28.893,0.02198,49.70,0.296,63.356
0.063,29.174,0.02208,49.70,0.298,63.972
0.063,29.426,0.02218,49.70,0.301,64.527
0.063,29.670,0.02228,49.70,0.303,65.062
0.063,29.917,0.02238,49.80,0.306,65.602
0.064,30.170,0.02248,49.80,0.308,66.156
0.064,30.400,0.02257,49.80,0.311,66.662
0.064,30.654,0.02267,49.80,0.313,67.218
0.064,30.902,0.02277,49.80,0.316,67.763
0.065,31.141,0.02287,49.80,0.318,68.285
0.065,31.369,0.02297,49.80,0.321,68.786
0.065,31.632,0.02307,49.80,0.323,69.363
0.066,31.879,0.02317,49.80,0.326,69.905
0.066,32.128,0.02326,49.80,0.328,70.451
0.066,32.390,0.02336,49.80,0.331,71.025
0.066,32.616,0.02346,49.90,0.333,71.520
0.067,32.855,0.02356,49.80,0.336,72.044
0.067,33.095,0.02366,49.80,0.338,72.571
0.067,33.341,0.02376,49.90,0.341,73.111
0.068,33.597,0.02385,49.90,0.343,73.672
0.068,33.858,0.02395,49.90,0.346,74.243
0.068,34.097,0.02405,49.90,0.348,74.767
0.068,34.335,0.02415,49.80,0.351,75.290
0.069,34.579,0.02424,49.80,0.353,75.825
0.069,34.811,0.02434,49.80,0.356,76.335
0.069,35.052,0.02444,49.80,0.358,76.862
0.069,35.295,0.02454,49.80,0.361,77.396
0.070,35.536,0.02464,49.80,0.363,77.924
0.070,35.789,0.02473,49.80,0.366,78.478
0.070,36.028,0.02483,49.80,0.368,79.003
0.071,36.263,0.02493,49.80,0.371,79.518
0.071,36.512,0.02503,49.80,0.373,80.064
0.071,36.737,0.02513,49.80,0.376,80.557
0.071,37.007,0.02523,49.80,0.378,81.148
0.072,37.255,0.02533,49.90,0.381,81.694
0.072,37.491,0.02543,49.90,0.383,82.210
0.072,37.756,0.02552,49.90,0.386,82.792
0.073,37.999,0.02562,49.90,0.388,83.324
0.073,38.207,0.02572,49.90,0.391,83.779
0.073,38.476,0.02582,49.90,0.393,84.371
0.073,38.728,0.02592,49.90,0.396,84.923
0.074,38.972,0.02602,49.90,0.398,85.459
0.074,39.124,0.02611,49.90,0.401,85.792
0.074,39.402,0.02621,49.90,0.403,86.402
0.074,39.600,0.02631,49.90,0.406,86.834
0.075,39.847,0.02641,49.90,0.408,87.377
0.075,40.102,0.02651,49.90,0.411,87.937
0.075,40.361,0.02661,49.90,0.413,88.504
0.076,40.588,0.02671,49.90,0.416,89.002
0.076,40.838,0.02681,49.90,0.418,89.551
0.076,41.089,0.02691,49.90,0.421,90.101
0.076,41.336,0.02700,49.90,0.423,90.643
0.077,41.595,0.02710,49.90,0.426,91.210
0.077,41.834,0.02720,49.90,0.428,91.734
0.077,42.080,0.02730,49.90,0.431,92.273
0.078,42.306,0.02740,49.90,0.433,92.768
0.078,42.555,0.02750,49.90,0.436,93.315
0.078,42.808,0.02759,49.90,0.438,93.871
0.078,43.073,0.02769,49.90,0.441,94.451
0.079,43.311,0.02779,49.90,0.443,94.972
0.079,43.546,0.02789,49.90,0.446,95.487
0.079,43.797,0.02798,49.90,0.448,96.038
0.079,44.022,0.02809,49.90,0.451,96.532
0.080,44.273,0.02818,49.90,0.453,97.083
0.080,44.519,0.02828,49.90,0.456,97.622
0.080,44.744,0.02838,49.90,0.458,98.115
0.081,44.980,0.02848,49.90,0.461,98.632
0.081,45.240,0.02857,49.90,0.463,99.202
0.081,45.503,0.02868,49.90,0.466,99.778
0.081,45.758,0.02877,49.90,0.468,100.338
0.082,45.994,0.02887,49.90,0.471,100.856
0.082,46.262,0.02897,49.90,0.473,101.443
0.082,46.497,0.02907,49.90,0.476,101.958
0.083,46.731,0.02917,49.90,0.478,102.472
0.083,46.961,0.02927,49.90,0.481,102.977
0.083,47.185,0.02937,49.90,0.483,103.467
0.083,47.444,0.02946,49.90,0.486,104.035
0.084,47.707,0.02956,49.90,0.488,104.612
0.084,47.918,0.02966,50.00,0.491,105.075
0.084,48.158,0.02976,50.00,0.493,105.601
0.084,48.416,0.02986,50.00,0.496,106.166
0.085,48.626,0.02996,50.00,0.498,106.627
0.085,48.904,0.03006,50.00,0.501,107.237
0.085,49.126,0.03015,50.00,0.503,107.723
0.086,49.362,0.03025,50.00,0.506,108.242
0.086,49.626,0.03035,50.00,0.508,108.819
0.086,49.858,0.03045,50.00,0.511,109.330
0.086,50.108,0.03055,50.00,0.513,109.877
0.087,50.321,0.03065,50.00,0.516,110.344
0.087,50.582,0.03074,50.00,0.518,110.916
0.087,50.833,0.03084,50.00,0.521,111.467
0.088,51.019,0.03094,50.00,0.523,111.874
0.088,51.263,0.03104,50.00,0.526,112.409
0.088,51.495,0.03114,50.00,0.528,112.918
0.088,51.752,0.03124,50.00,0.531,113.482
0.089,51.961,0.03133,50.00,0.533,113.940
0.089,52.209,0.03143,50.00,0.536,114.484
0.089,52.450,0.03153,50.00,0.538,115.012
0.089,52.704,0.03163,50.00,0.541,115.569
0.090,52.937,0.03173,50.00,0.543,116.081
0.090,53.181,0.03183,50.00,0.546,116.616
0.090,53.424,0.03193,50.00,0.548,117.148
0.091,53.701,0.03202,50.00,0.551,117.756
0.091,53.894,0.03212,50.00,0.553,118.179
0.091,54.116,0.03222,50.00,0.556,118.666
0.091,54.370,0.03232,50.00,0.558,119.222
0.092,54.614,0.03242,50.00,0.561,119.758
0.092,54.845,0.03252,50.00,0.563,120.265
0.092,55.082,0.03261,50.00,0.566,120.785
0.093,55.339,0.03271,50.00,0.568,121.347
0.093,55.583,0.03281,50.00,0.571,121.882
0.093,55.818,0.03291,50.00,0.573,122.397
0.093,56.065,0.03301,50.00,0.576,122.939
0.094,56.307,0.03311,50.00,0.578,123.471
0.094,56.538,0.03320,50.00,0.581,123.977
0.094,56.777,0.03330,50.00,0.583,124.501
0.094,56.992,0.03340,50.00,0.586,124.972
0.095,57.256,0.03350,50.00,0.588,125.551
0.095,57.457,0.03360,50.00,0.591,125.992
0.095,57.723,0.03370,50.00,0.593,126.575
0.096,57.966,0.03380,50.00,0.596,127.108
0.096,58.186,0.03389,50.00,0.598,127.590
0.096,58.412,0.03399,50.00,0.601,128.087
0.096,58.611,0.03409,50.00,0.603,128.523
0.097,58.846,0.03419,50.00,0.606,129.037
0.097,59.066,0.03429,50.00,0.608,129.519
0.097,59.293,0.03439,50.00,0.611,130.017
0.098,59.534,0.03449,50.00,0.613,130.545
0.098,59.774,0.03459,49.90,0.616,131.073
0.098,59.990,0.03469,49.90,0.618,131.546
0.098,60.216,0.03478,49.90,0.621,132.043
0.099,60.461,0.03488,49.90,0.623,132.578
0.099,60.693,0.03498,49.90,0.626,133.089
0.099,60.958,0.03508,49.90,0.628,133.669
0.099,61.167,0.03518,49.90,0.631,134.127
0.100,61.414,0.03528,49.90,0.633,134.670
0.100,61.644,0.03537,49.90,0.636,135.173
0.100,61.847,0.03547,49.90,0.638,135.618
0.101,62.113,0.03557,49.90,0.641,136.202
0.101,62.339,0.03566,49.90,0.643,136.698
0.101,62.540,0.03576,49.90,0.646,137.137
0.101,62.804,0.03586,49.90,0.648,137.717
0.102,63.014,0.03595,49.90,0.651,138.178
0.102,63.244,0.03606,49.90,0.653,138.682
0.102,63.483,0.03615,49.90,0.656,139.205
0.103,63.694,0.03625,49.90,0.658,139.668
0.103,63.960,0.03635,49.90,0.661,140.253
0.103,64.177,0.03644,49.90,0.663,140.727
0.103,64.425,0.03654,49.90,0.666,141.270
0.104,64.659,0.03664,49.90,0.668,141.785
0.104,64.878,0.03674,49.90,0.671,142.264
0.104,65.100,0.03683,49.90,0.673,142.752
0.104,65.315,0.03694,49.90,0.676,143.223
0.105,65.569,0.03704,49.90,0.678,143.781
0.105,65.782,0.03713,49.90,0.681,144.247
0.105,66.009,0.03723,49.90,0.683,144.746
0.106,66.245,0.03733,49.90,0.686,145.262
0.106,66.495,0.03743,49.90,0.688,145.811
0.106,66.752,0.03753,49.90,0.691,146.374
0.106,66.978,0.03763,49.90,0.693,146.870
0.107,67.189,0.03773,49.90,0.696,147.332
0.107,67.402,0.03783,49.90,0.698,147.799
0.107,67.624,0.03793,49.90,0.701,148.285
0.108,67.858,0.03803,49.90,0.703,148.799
0.108,68.064,0.03812,49.90,0.706,149.251
0.108,68.319,0.03822,49.90,0.708,149.810
0.108,68.548,0.03832,49.90,0.711,150.312
0.109,68.754,0.03842,49.90,0.713,150.764
0.109,68.970,0.03852,49.90,0.716,151.238
0.109,69.203,0.03861,49.90,0.718,151.749
0.109,69.435,0.03871,49.90,0.721,152.257
0.110,69.668,0.03881,49.90,0.723,152.769
0.110,69.897,0.03891,49.90,0.726,153.272
0.110,70.122,0.03901,49.90,0.728,153.763
0.111,70.337,0.03911,49.90,0.731,154.235
0.111,70.565,0.03920,49.90,0.733,154.735
0.111,70.784,0.03930,49.90,0.736,155.217
0.111,70.986,0.03940,49.90,0.738,155.658
0.112,71.237,0.03950,49.90,0.741,156.209
0.112,71.482,0.03960,49.90,0.743,156.747
0.112,71.703,0.03970,49.80,0.746,157.230
0.113,71.918,0.03980,49.80,0.748,157.703
0.113,72.160,0.03990,49.80,0.751,158.232
0.113,72.368,0.04000,49.80,0.753,158.690
0.113,72.626,0.04009,49.90,0.756,159.255
0.114,72.839,0.04019,49.90,0.758,159.722
0.114,73.095,0.04029,49.90,0.761,160.283
0.114,73.328,0.04039,49.90,0.763,160.794
0.114,73.532,0.04049,49.90,0.766,161.242
0.115,73.775,0.04059,49.80,0.768,161.774
0.115,74.013,0.04069,49.90,0.771,162.297
0.115,74.228,0.04078,49.90,0.773,162.767
0.116,74.445,0.04088,49.90,0.776,163.244
0.116,74.675,0.04098,49.90,0.778,163.747
0.116,74.908,0.04108,49.90,0.781,164.258
0.116,75.100,0.04118,49.90,0.783,164.680
0.117,75.324,0.04128,49.90,0.786,165.171
0.117,75.589,0.04137,49.90,0.788,165.752
0.117,75.794,0.04147,49.90,0.791,166.202
0.118,76.036,0.04157,49.90,0.793,166.732
0.118,76.265,0.04167,49.90,0.796,167.235
0.118,76.496,0.04177,49.90,0.798,167.741
0.118,76.683,0.04187,49.90,0.801,168.150
0.119,76.910,0.04196,49.90,0.803,168.648
0.119,77.129,0.04206,49.90,0.806,169.128
0.119,77.343,0.04216,49.90,0.808,169.599
0.119,77.557,0.04226,49.90,0.811,170.068
0.120,77.792,0.04235,49.90,0.813,170.584
0.120,78.024,0.04245,49.80,0.816,171.092
0.120,78.208,0.04256,49.80,0.818,171.496
0.121,78.438,0.04265,49.90,0.821,171.999
0.121,78.660,0.04275,49.90,0.823,172.487
0.121,78.902,0.04285,49.90,0.826,173.017
0.121,79.115,0.04295,49.90,0.828,173.485
0.122,79.369,0.04304,49.90,0.831,174.042
0.122,79.571,0.04315,49.90,0.833,174.484
0.122,79.785,0.04324,49.90,0.836,174.952
0.123,79.984,0.04334,49.90,0.838,175.389
0.123,80.234,0.04344,49.90,0.841,175.937
0.123,80.434,0.04354,49.90,0.843,176.376
0.123,80.685,0.04363,49.90,0.846,176.927
0.124,80.906,0.04373,49.90,0.848,177.412
0.124,81.110,0.04383,49.90,0.851,177.859
0.124,81.365,0.04393,49.90,0.853,178.417
0.124,81.587,0.04403,49.90,0.856,178.905
0.125,81.800,0.04413,49.90,0.858,179.371
0.125,82.019,0.04422,49.90,0.861,179.852
0.125,82.246,0.04432,49.90,0.863,180.349
0.126,82.471,0.04442,49.90,0.866,180.842
0.126,82.692,0.04452,49.90,0.868,181.328
0.126,82.919,0.04462,49.90,0.871,181.826
0.126,83.119,0.04472,49.90,0.873,182.265
0.127,83.330,0.04481,49.90,0.876,182.727
0.127,83.563,0.04492,49.90,0.878,183.237
0.127,83.795,0.04502,49.90,0.881,183.747
0.128,84.003,0.04511,49.90,0.883,184.202
0.128,84.216,0.04521,49.90,0.886,184.669
0.128,84.418,0.04531,49.90,0.888,185.113
0.128,84.660,0.04541,49.90,0.891,185.643
0.129,84.885,0.04551,49.90,0.893,186.137
0.129,85.106,0.04561,49.90,0.896,186.621
0.129,85.349,0.04570,49.90,0.898,187.154
0.129,85.555,0.04580,49.90,0.901,187.606
0.130,85.777,0.04590,49.90,0.903,188.093
0.130,85.950,0.04600,49.90,0.906,188.472
0.130,86.179,0.04610,49.90,0.908,188.973
0.131,86.378,0.04619,49.90,0.911,189.410
0.131,86.630,0.04629,49.90,0.913,189.964
0.131,86.846,0.04639,49.90,0.916,190.436
0.131,87.068,0.04649,49.90,0.918,190.922
0.132,87.283,0.04659,49.90,0.921,191.394
0.132,87.496,0.04669,49.90,0.923,191.861
0.132,87.758,0.04679,49.90,0.926,192.436
0.133,87.973,0.04689,49.90,0.928,192.907
0.133,88.176,0.04698,49.90,0.931,193.352
0.133,88.406,0.04708,49.90,0.933,193.857
0.133,88.640,0.04718,49.90,0.936,194.371
0.134,88.842,0.04728,49.90,0.938,194.813
0.134,89.057,0.04737,49.90,0.941,195.285
0.134,89.242,0.04747,49.90,0.943,195.691
0.134,89.477,0.04757,49.90,0.946,196.206
0.135,89.695,0.04767,49.90,0.948,196.685
0.135,89.915,0.04777,49.90,0.951,197.166
0.135,90.111,0.04787,49.90,0.953,197.597
0.136,90.336,0.04797,50.00,0.956,198.089
0.136,90.535,0.04807,50.00,0.958,198.525
0.136,90.758,0.04817,50.00,0.961,199.015
0.136,90.973,0.04826,50.00,0.963,199.487
0.137,91.173,0.04836,50.00,0.966,199.924
0.137,91.201,0.04837,50.00,0.966,199.986
0.137,91.182,0.04839,49.90,0.967,199.945
0.138,91.183,0.04840,49.90,0.967,199.947
0.138,91.188,0.04841,49.90,0.967,199.957
0.138,91.186,0.04842,49.90,0.967,199.954
0.138,91.195,0.04843,49.90,0.967,199.974
0.139,91.195,0.04843,49.90,0.968,199.973
0.139,91.209,0.04844,49.90,0.968,200.003
0.139,91.205,0.04844,49.90,0.968,199.995
0.139,91.183,0.04844,49.90,0.968,199.947
0.140,91.179,0.04844,49.90,0.968,199.938
0.140,91.186,0.04844,49.90,0.968,199.952
0.140,91.198,0.04845,49.90,0.968,199.979
0.141,91.198,0.04846,49.90,0.968,199.978
0.141,91.194,0.04846,49.90,0.968,199.971
0.141,91.206,0.04846,50.00,0.968,199.997
0.141,91.214,0.04846,50.00,0.968,200.015
0.142,91.210,0.04846,50.00,0.968,200.006
0.142,91.200,0.04846,49.90,0.968,199.983
0.142,91.194,0.04846,49.92,0.968,199.971
0.143,91.196,0.04846,50.00,0.968,199.974
0.143,91.189,0.04846,49.90,0.968,199.959
0.143,91.179,0.04846,49.90,0.968,199.938
0.143,91.192,0.04848,49.90,0.969,199.966
0.144,91.200,0.04848,49.90,0.969,199.984
0.144,91.214,0.04848,49.90,0.969,200.015
0.144,91.204,0.04848,49.90,0.969,199.993
0.144,91.199,0.04848,49.90,0.969,199.982
0.145,91.179,0.04848,49.90,0.969,199.938
0.145,91.216,0.04849,49.90,0.969,200.019
0.145,91.197,0.04849,49.90,0.969,199.978
0.146,91.198,0.04849,49.90,0.969,199.979
0.146,91.184,0.04849,49.90,0.969,199.949
0.146,91.167,0.04849,49.90,0.969,199.912
0.146,91.219,0.04850,49.90,0.969,200.026
0.147,91.209,0.04850,49.90,0.969,200.005
0.147,91.184,0.04850,49.90,0.969,199.949
0.147,91.184,0.04850,49.90,0.969,199.949
0.148,91.203,0.04850,49.90,0.969,199.991
0.148,91.208,0.04850,49.90,0.969,200.001
0.148,91.205,0.04850,49.90,0.969,199.995
0.148,91.222,0.04850,49.90,0.969,200.032
0.149,91.208,0.04850,49.90,0.969,200.002
0.149,91.184,0.04850,49.90,0.969,199.949
0.149,91.190,0.04850,50.00,0.969,199.961
0.149,91.204,0.04850,49.90,0.969,199.993
0.150,91.184,0.04850,49.90,0.969,199.948
0.150,91.199,0.04850,50.00,0.969,199.981
0.150,91.197,0.04851,50.00,0.970,199.977
0.151,91.186,0.04851,50.00,0.970,199.953
0.151,91.165,0.04852,50.00,0.970,199.906
0.151,91.194,0.04852,50.00,0.970,199.970
0.151,91.190,0.04852,50.00,0.970,199.962
0.152,91.196,0.04852,50.00,0.970,199.975
0.152,91.222,0.04852,49.90,0.970,200.033
0.152,91.205,0.04852,49.90,0.970,199.994
0.153,91.216,0.04852,50.00,0.970,200.019
0.153,91.186,0.04852,50.00,0.970,199.953
0.153,91.179,0.04852,50.00,0.970,199.939
0.153,91.189,0.04852,50.00,0.970,199.959
