FLUKE 287,  V1.16,38020004,,,,,,,,
,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,
,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,
4/7/2021 13:45,4/7/2021 13:49,0:04:08,0:00:02,168,125,48,Save 33,,,
Max Time,Max,Average,Min,Min Time,Scaling,,,,,
4/7/2021 13:46,151.3,79.5,26.8,4/7/2021 13:45,(none),,,,,
,,,,,,,,,,
Reading,,Start Time,Duration,Max Time,Max °C,Average °C,Min Time,Min °C,Description,Stop Time
60,,46:39.1,00:01.5,46:39.1,66.8,65.7,46:40.2,64.4,Stable,46:40.5
61,,46:40.5,00:00.8,46:40.5,63.6,63.3,46:40.9,63,Interval,46:41.3
62,,46:41.3,00:01.8,46:41.3,62.1,60.7,46:42.8,59.3,Interval,46:43.1
63,,46:43.1,00:01.9,46:43.1,58.6,57.3,46:44.7,56,Interval,46:45.0
64,,46:45.0,00:01.9,46:45.0,55.5,54.5,46:46.5,53.5,Stable,46:46.9
65,,46:46.9,00:00.3,46:46.9,52.9,52.9,46:46.9,52.9,Interval,46:47.3
66,,46:47.3,00:01.9,46:47.3,52.5,51.6,46:48.7,50.7,Interval,46:49.2
67,,46:49.2,00:02.2,46:49.2,50.1,49.2,46:50.9,48.2,Interval,46:51.4
68,,46:51.4,00:01.8,46:51.4,47.7,47,46:52.8,46.2,Interval,46:53.2
69,,46:53.2,00:01.9,46:53.2,45.9,45.2,46:54.8,44.6,Interval,46:55.1
70,,46:55.1,00:01.9,46:55.1,44.4,44,46:56.5,43.6,Interval,46:57.0
71,,46:57.0,00:02.2,46:57.0,43.4,43,46:58.8,42.7,Interval,46:59.3
72,,46:59.3,00:01.8,46:59.3,42.5,42.3,47:00.7,42,Interval,47:01.0
73,,47:01.0,00:02.2,47:01.0,41.8,41.4,47:02.9,41,Interval,47:03.3
74,,47:03.3,00:01.9,47:03.3,40.9,40.6,47:04.8,40.4,Interval,47:05.2
75,,47:05.2,00:01.9,47:05.2,40.3,40.1,47:06.6,39.9,Interval,47:07.1
76,,47:07.1,00:02.2,47:07.1,39.9,39.7,47:08.9,39.4,Interval,47:09.3
