Column1	Column2	Column3	Column4	Column5	Column6	Column7
						
Test Method	TENSILE LMSMA.msm					
Sample I. D.	MingearLMSMA.mss					
Specimen Number	7					
						
Time (s)	Load (N)	Stress (MPa)	_COM1 (C)	Crosshead (mm)	_Strain2 (mm)	Strain (mm/mm)
						
2920.600	3307.215	126.242	0.000	3.544	2.925	1.105
2927.000	3293.388	125.714	0.000	3.543	2.981	1.105
2933.400	3241.042	123.716	0.000	3.544	3.028	1.105
2939.800	3325.488	126.939	0.000	3.552	3.071	1.108
2946.200	3364.029	128.410	0.000	3.553	3.116	1.108
2952.600	3295.280	125.786	0.000	3.544	3.170	1.105
2959.000	3239.703	123.665	0.000	3.545	3.213	1.105
2965.400	3291.742	125.651	0.000	3.550	3.262	1.107
2971.800	3371.591	128.699	0.000	3.551	3.300	1.107
2978.200	3301.423	126.021	0.000	3.545	3.329	1.105
2984.600	3285.408	125.409	0.000	3.543	3.333	1.105
2991.000	3279.946	125.201	0.000	3.550	3.330	1.107
2997.400	3326.382	126.973	0.000	3.553	3.291	1.108
3003.800	3351.222	127.921	0.000	3.547	3.265	1.106
3010.200	3342.153	127.575	0.000	3.471	3.235	1.082
3016.600	4639.348	177.091	0.000	3.029	3.195	0.943
3023.000	6611.684	252.378	0.000	2.495	3.180	0.775
3029.400	4698.785	179.360	0.000	1.962	3.155	0.607
3035.800	3309.078	126.313	0.000	1.757	3.154	0.542
3042.200	3237.951	123.598	0.000	1.744	3.104	0.538
3048.600	3245.158	123.873	0.000	1.737	3.059	0.536
3055.000	3229.440	123.273	0.000	1.730	3.030	0.534
3061.400	2579.846	98.477	0.000	2.111	3.030	0.654
3067.800	2018.481	77.049	0.000	2.645	3.013	0.822
3074.200	2562.708	97.823	0.000	3.178	2.987	0.990
3080.600	3293.119	125.704	0.000	3.586	2.987	1.118
3087.000	3263.849	124.586	0.000	3.684	2.995	1.149
3093.400	3301.064	126.007	0.000	3.705	2.977	1.156
3099.800	3324.994	126.920	0.000	3.717	2.962	1.160
3106.200	3295.215	125.784	0.000	3.720	2.951	1.160
3112.600	3310.908	126.383	0.000	3.725	2.921	1.162
3119.000	3291.983	125.660	0.000	3.726	2.907	1.162
3125.400	3262.432	124.532	0.000	3.725	2.895	1.162
3131.800	3245.860	123.900	0.000	3.715	2.894	1.159
3138.200	3454.313	131.857	0.000	3.539	2.885	1.103
3144.600	6599.514	251.914	0.000	3.005	2.857	0.935
3151.000	5877.568	224.356	0.000	2.472	2.878	0.767
3157.400	3292.723	125.688	0.000	2.093	2.871	0.648
3163.800	3251.427	124.112	0.000	2.069	2.862	0.640
3170.200	3226.190	123.149	0.000	2.066	2.843	0.639
3176.600	3259.912	124.436	0.000	2.052	2.860	0.635
3183.000	3275.272	125.022	0.000	2.063	2.866	0.639
3189.400	3345.636	127.708	0.000	2.084	2.837	0.645
3195.800	3321.920	126.803	0.000	2.253	2.843	0.698
3202.200	3355.825	128.097	0.000	2.414	2.863	0.749
3208.600	3320.874	126.763	0.000	2.484	2.843	0.771
3215.000	3258.325	124.375	0.000	2.557	2.886	0.794
3221.400	3272.314	124.909	0.000	2.636	2.926	0.819
3227.800	3350.237	127.884	0.000	2.738	2.931	0.851
3234.200	3281.306	125.253	0.000	2.825	2.941	0.879
3240.600	3332.442	127.205	0.000	2.914	2.926	0.906
3247.000	3274.313	124.986	0.000	2.999	2.888	0.933
3253.400	3347.011	127.761	0.000	3.081	2.875	0.959
3259.800	3262.949	124.552	0.000	3.154	2.884	0.982
3266.200	3267.116	124.711	0.000	3.236	2.851	1.008
3272.600	3342.902	127.604	0.000	3.316	2.849	1.033
3279.000	3303.823	126.112	0.000	3.377	2.873	1.052
3285.400	3237.109	123.566	0.000	3.445	2.869	1.074
3291.800	3307.548	126.254	0.000	3.518	2.863	1.097
3298.200	3349.307	127.848	0.000	3.577	2.846	1.115
3301.340	3356.890	128.138	0.000	3.606	2.841	1.125
						
						
