"MTS Start (HH:MM:SS) 09:32:03
"Test Method","3Point_Bending.msm"
"Sample I. D.","Sample34.mss"
"Specimen Number","1"

"Time (s)","Load (N)","Extension (mm)","_COM1 (C)","FlexureStress (MPa)","FlexureStrain (mm/mm)"
2203.600,-705.809,-1.638,-30.300,-52.936,****
2210.000,-695.420,-1.647,-31.000,-52.156,****
2216.400,-672.117,-1.651,-30.700,-50.409,****
2222.800,-638.339,-1.652,-29.500,-47.875,****
2229.200,-630.902,-1.653,-29.400,-47.318,****
2235.600,-656.794,-1.659,-29.800,-49.260,****
2242.000,-692.886,-1.669,-29.500,-51.966,****
2248.400,-704.116,-1.678,-29.900,-52.809,****
2254.800,-680.866,-1.685,-30.900,-51.065,****
2261.200,-657.896,-1.687,-31.200,-49.342,****
2267.600,-635.951,-1.689,-30.000,-47.696,****
2274.000,-626.916,-1.689,-29.600,-47.019,****
2280.400,-658.957,-1.695,-30.800,-49.422,****
2286.800,-661.126,-1.700,-31.000,-49.584,****
2293.200,-682.268,-1.708,-30.700,-51.170,****
2299.600,-704.819,-1.715,-29.500,-52.861,****
2306.000,-696.964,-1.722,-30.000,-52.272,****
2312.400,-678.536,-1.726,-29.600,-50.890,****
2318.800,-660.409,-1.728,-30.100,-49.531,****
2325.200,-641.847,-1.731,-30.800,-48.139,****
2331.600,-625.526,-1.733,-30.800,-46.914,****
2338.000,-648.974,-1.734,-29.700,-48.673,****
2344.400,-663.674,-1.741,-29.500,-49.776,****
2350.800,-687.689,-1.749,-30.600,-51.577,****
2357.200,-690.500,-1.754,-31.200,-51.787,****
2363.600,-706.564,-1.761,-29.900,-52.992,****
2370.000,-677.540,-1.767,-29.400,-50.815,****
2376.400,-655.776,-1.768,-29.700,-49.183,****
2382.800,-632.514,-1.768,-29.700,-47.439,****
2389.200,-626.432,-1.769,-30.500,-46.982,****
2395.600,-648.852,-1.772,-30.700,-48.664,****
2402.000,-681.203,-1.780,-30.900,-51.090,****
2408.400,-706.567,-1.789,-29.600,-52.992,****
2414.800,-706.542,-1.793,-30.300,-52.991,****
2421.200,-690.180,-1.800,-31.200,-51.764,****
2427.600,-673.816,-1.802,-31.200,-50.536,****
2434.000,-668.364,-1.804,-29.600,-50.127,****
2440.400,-647.290,-1.806,-30.200,-48.547,****
2446.800,-649.985,-1.810,-30.400,-48.749,****
2453.200,-649.659,-1.813,-29.800,-48.724,****
2459.600,-636.978,-1.815,-30.400,-47.773,****
2466.000,-639.689,-1.820,-31.000,-47.977,****
2472.400,-644.676,-1.824,-30.100,-48.351,****
2478.800,-625.822,-1.825,-29.800,-46.937,****
2485.200,-623.720,-1.828,-30.200,-46.779,****
2491.600,-623.493,-1.832,-31.100,-46.762,****
2498.000,-623.248,-1.834,-30.400,-46.744,****
2504.400,-625.325,-1.839,-29.600,-46.899,****
2510.800,-626.740,-1.840,-29.800,-47.006,****
2517.200,-632.392,-1.842,-30.300,-47.429,****
2523.600,-631.648,-1.845,-30.000,-47.374,****
2530.000,-649.737,-1.849,-29.400,-48.730,****
2536.400,-651.460,-1.853,-30.300,-48.860,****
2542.800,-658.170,-1.858,-31.100,-49.363,****
2549.200,-690.556,-1.865,-30.000,-51.792,****
2555.600,-696.379,-1.869,-30.000,-52.228,****
2562.000,-703.366,-1.873,-30.900,-52.752,****
2568.400,-707.547,-1.879,-31.100,-53.066,****
2574.800,-702.406,-1.883,-30.200,-52.680,****
2581.200,-683.768,-1.886,-29.800,-51.283,****
2587.600,-633.482,-1.879,-30.900,-47.511,****
2594.000,-637.744,-1.882,-30.500,-47.831,****
2600.400,-641.288,-1.885,-29.800,-48.097,****
2606.800,-649.006,-1.888,-29.400,-48.675,****
2613.200,-656.864,-1.893,-31.000,-49.265,****
2619.600,-662.498,-1.897,-30.900,-49.687,****
2626.000,-652.656,-1.898,-29.600,-48.949,****
2632.400,-645.187,-1.900,-30.200,-48.389,****
2638.800,-655.304,-1.905,-31.100,-49.148,****
2645.200,-656.065,-1.908,-30.300,-49.205,****
2651.600,-657.439,-1.911,-29.600,-49.308,****
2658.000,-665.957,-1.916,-30.500,-49.947,****
2664.400,-669.965,-1.919,-31.200,-50.247,****
2670.800,-672.141,-1.922,-29.500,-50.411,****
2677.200,-684.591,-1.926,-29.400,-51.344,****
2683.600,-677.415,-1.928,-29.800,-50.806,****
2690.000,-700.393,-1.934,-30.100,-52.530,****
2696.400,-695.984,-1.936,-30.900,-52.199,****
2702.800,-685.047,-1.938,-31.100,-51.379,****
2709.200,-693.928,-1.941,-29.600,-52.045,****
2715.600,-679.650,-1.942,-30.300,-50.974,****
2722.000,-685.482,-1.946,-31.200,-51.411,****
2728.400,-675.824,-1.948,-29.900,-50.687,****
2734.800,-676.364,-1.950,-29.600,-50.727,****
2741.200,-680.080,-1.953,-30.300,-51.006,****
2747.600,-680.706,-1.956,-30.400,-51.053,****
2754.000,-677.667,-1.957,-29.600,-50.825,****
2760.400,-683.058,-1.961,-29.900,-51.229,****
2766.800,-696.599,-1.965,-29.300,-52.245,****
2773.200,-692.409,-1.966,-29.600,-51.931,****
2779.600,-687.237,-1.968,-28.600,-51.543,****
2786.000,-684.659,-1.969,-27.600,-51.349,****
2792.400,-687.957,-1.971,-28.100,-51.597,****
2798.800,-693.535,-1.974,-27.800,-52.015,****
2805.200,-688.070,-1.974,-26.500,-51.605,****
2811.600,-703.995,-1.978,-27.100,-52.800,****
2818.000,-709.176,-1.981,-26.800,-53.188,****
2824.400,-708.021,-1.982,-25.200,-53.102,****
2830.800,-709.067,-1.984,-25.700,-53.180,****
2837.200,-707.349,-1.985,-25.000,-53.051,****
2843.600,-708.751,-1.986,-23.800,-53.156,****
2850.000,-705.298,-1.989,-23.700,-52.897,****
2856.400,-706.463,-1.989,-23.500,-52.985,****
2862.800,-706.651,-1.990,-22.900,-52.999,****
2869.200,-707.131,-1.990,-22.400,-53.035,****
2875.600,-709.385,-1.991,-22.400,-53.204,****
2882.000,-706.167,-1.992,-21.800,-52.963,****
2888.400,-706.165,-1.993,-22.000,-52.962,****
2894.800,-704.168,-1.994,-20.800,-52.813,****
2901.200,-691.096,-1.995,-20.700,-51.832,****
2907.600,-690.972,-1.996,-20.600,-51.823,****
2914.000,-699.179,-1.996,-19.700,-52.438,****
2920.400,-695.611,-1.997,-20.000,-52.171,****
2926.800,-702.287,-1.996,-18.300,-52.672,****
2933.200,-709.657,-1.995,-18.700,-53.224,****
2939.600,-709.407,-1.996,-18.100,-53.205,****
2946.000,-706.683,-1.994,-17.500,-53.001,****
2952.400,-701.861,-1.994,-17.900,-52.640,****
2958.800,-688.684,-1.992,-16.200,-51.651,****
2965.200,-678.163,-1.991,-16.400,-50.862,****
2971.600,-679.959,-1.992,-16.300,-50.997,****
2978.000,-675.392,-1.991,-15.200,-50.654,****
2984.400,-663.860,-1.989,-14.900,-49.789,****
2990.800,-678.581,-1.991,-14.600,-50.894,****
2997.200,-679.405,-1.991,-13.700,-50.955,****
3003.600,-667.231,-1.989,-13.300,-50.042,****
3010.000,-677.048,-1.990,-12.800,-50.779,****
3016.400,-670.355,-1.989,-12.500,-50.277,****
3022.800,-674.164,-1.989,-12.300,-50.562,****
3029.200,-680.630,-1.990,-12.200,-51.047,****
3035.600,-678.620,-1.989,-11.300,-50.897,****
3042.000,-689.223,-1.991,-11.200,-51.692,****
3048.400,-703.305,-1.992,-10.400,-52.748,****
3054.800,-706.505,-1.992,-10.200,-52.988,****
3061.200,-695.346,-1.995,-9.800,-52.151,****
3067.600,-675.967,-1.993,-9.000,-50.698,****
3074.000,-666.761,-1.992,-8.800,-50.007,****
3080.400,-627.320,-1.986,-8.300,-47.049,****
3086.800,-625.252,-1.983,-8.000,-46.894,****
3093.200,-638.447,-1.981,-7.400,-47.884,****
3099.600,-659.672,-1.982,-7.100,-49.475,****
3106.000,-659.081,-1.981,-6.800,-49.431,****
3112.400,-680.902,-1.983,-6.300,-51.068,****
3118.800,-704.293,-1.986,-5.900,-52.822,****
3125.200,-707.989,-1.986,-5.500,-53.099,****
3131.600,-685.587,-1.988,-5.100,-51.419,****
3138.000,-660.508,-1.984,-4.800,-49.538,****
3144.400,-650.899,-1.982,-4.500,-48.817,****
3150.800,-623.917,-1.977,-4.000,-46.794,****
3157.200,-624.178,-1.976,-3.700,-46.813,****
3163.600,-625.187,-1.974,-3.400,-46.889,****
3170.000,-643.718,-1.971,-3.000,-48.279,****
3176.400,-660.076,-1.972,-2.600,-49.506,****
3182.800,-694.143,-1.976,-2.300,-52.061,****
3189.200,-706.572,-1.977,-1.900,-52.993,****
3195.600,-705.746,-1.975,-1.600,-52.931,****
3202.000,-701.018,-1.978,-1.200,-52.576,****
3208.400,-686.584,-1.977,-0.800,-51.494,****
3214.800,-679.732,-1.975,-0.500,-50.980,****
3221.200,-649.608,-1.970,-0.100,-48.721,****
3227.600,-646.786,-1.968,0.200,-48.509,****
3234.000,-641.544,-1.967,0.600,-48.116,****
3240.400,-626.214,-1.963,1.000,-46.966,****
3246.800,-626.451,-1.960,1.300,-46.984,****
3253.200,-650.784,-1.957,1.600,-48.809,****
3259.600,-683.665,-1.960,2.000,-51.275,****
3266.000,-679.728,-1.959,2.400,-50.980,****
3272.400,-699.731,-1.960,2.800,-52.480,****
3278.800,-702.723,-1.959,3.200,-52.704,****
3285.200,-690.975,-1.956,3.500,-51.823,****
3291.600,-703.757,-1.956,4.000,-52.782,****
3298.000,-691.356,-1.953,4.300,-51.852,****
3304.400,-686.715,-1.951,4.700,-51.504,****
3310.800,-706.958,-1.953,5.100,-53.022,****
3317.200,-703.256,-1.951,5.500,-52.744,****
3323.600,-704.365,-1.949,6.000,-52.827,****
3330.000,-708.177,-1.949,6.300,-53.113,****
3336.400,-706.907,-1.947,6.700,-53.018,****
3342.800,-701.018,-1.948,7.100,-52.576,****
3349.200,-702.838,-1.946,7.600,-52.713,****
3355.600,-707.851,-1.943,8.000,-53.089,****
3362.000,-682.981,-1.943,8.400,-51.224,****
3368.400,-685.500,-1.942,8.800,-51.413,****
3374.800,-685.129,-1.940,9.300,-51.385,****
3381.200,-667.459,-1.936,9.700,-50.059,****
3387.600,-664.579,-1.934,10.000,-49.843,****
3394.000,-644.129,-1.929,10.400,-48.310,****
3400.400,-627.267,-1.925,10.900,-47.045,****
3406.800,-625.522,-1.923,11.300,-46.914,****
3413.200,-641.304,-1.918,11.700,-48.098,****
3419.600,-649.543,-1.916,12.100,-48.716,****
3426.000,-649.267,-1.914,12.500,-48.695,****
3432.400,-680.331,-1.917,13.100,-51.025,****
3438.800,-678.739,-1.915,13.500,-50.905,****
3445.200,-674.520,-1.912,13.900,-50.589,****
3451.600,-699.694,-1.914,14.300,-52.477,****
3458.000,-698.114,-1.911,14.800,-52.359,****
3464.400,-707.921,-1.911,15.200,-53.094,****
3470.800,-700.784,-1.912,15.600,-52.559,****
3477.200,-695.723,-1.910,16.000,-52.179,****
3483.600,-683.403,-1.908,16.500,-51.255,****
3490.000,-684.904,-1.906,16.900,-51.368,****
3496.400,-686.547,-1.904,17.300,-51.491,****
3502.800,-658.502,-1.899,17.700,-49.388,****
3509.200,-657.293,-1.897,18.100,-49.297,****
3515.600,-643.782,-1.892,18.600,-48.284,****
3522.000,-624.648,-1.887,19.000,-46.849,****
3528.400,-630.078,-1.886,19.400,-47.256,****
3534.800,-624.603,-1.883,19.800,-46.845,****
3541.200,-638.030,-1.878,20.300,-47.852,****
3547.600,-631.464,-1.877,20.700,-47.360,****
3554.000,-643.363,-1.874,21.200,-48.252,****
3560.400,-644.808,-1.872,21.600,-48.361,****
3566.800,-637.058,-1.870,22.100,-47.779,****
3573.200,-666.481,-1.871,22.500,-49.986,****
3579.600,-662.495,-1.868,22.900,-49.687,****
3586.000,-658.431,-1.866,23.300,-49.382,****
3592.400,-682.706,-1.867,23.600,-51.203,****
3598.800,-682.640,-1.865,24.200,-51.198,****
3605.200,-694.714,-1.864,24.600,-52.104,****
3611.600,-706.609,-1.864,25.000,-52.996,****
3618.000,-704.697,-1.861,25.500,-52.852,****
3624.400,-705.448,-1.861,26.000,-52.909,****
3630.800,-705.663,-1.858,26.400,-52.925,****
3637.200,-705.638,-1.856,26.800,-52.923,****
3643.600,-691.795,-1.855,27.200,-51.885,****
3650.000,-696.432,-1.853,27.600,-52.232,****
3656.400,-705.665,-1.849,28.000,-52.925,****
3662.800,-686.290,-1.848,28.400,-51.472,****
3669.200,-685.223,-1.846,28.800,-51.392,****
3675.600,-678.848,-1.842,29.300,-50.914,****
3682.000,-665.723,-1.838,29.800,-49.929,****
3688.400,-679.643,-1.837,30.200,-50.973,****
3694.800,-667.993,-1.833,30.600,-50.099,****
3701.200,-651.044,-1.828,31.000,-48.828,****
3707.600,-653.494,-1.826,31.600,-49.012,****
3714.000,-630.651,-1.820,31.900,-47.299,****
3720.400,-638.901,-1.819,32.300,-47.918,****
3726.800,-631.775,-1.815,32.700,-47.383,****
3733.200,-631.687,-1.809,33.100,-47.377,****
3739.600,-628.593,-1.807,33.600,-47.144,****
3746.000,-640.452,-1.802,34.000,-48.034,****
3752.400,-652.031,-1.800,34.400,-48.902,****
3758.800,-654.627,-1.798,34.800,-49.097,****
3765.200,-672.544,-1.798,35.300,-50.441,****
3771.600,-683.456,-1.796,35.700,-51.259,****
3778.000,-684.260,-1.793,36.200,-51.320,****
3784.400,-704.050,-1.796,36.600,-52.804,****
3790.800,-694.431,-1.794,37.000,-52.082,****
3797.200,-691.432,-1.791,37.500,-51.857,****
3803.600,-665.728,-1.786,37.800,-49.930,****
3810.000,-667.665,-1.783,38.200,-50.075,****
3816.400,-642.285,-1.776,38.700,-48.171,****
3822.800,-628.425,-1.770,39.200,-47.132,****
3829.200,-629.548,-1.766,39.600,-47.216,****
3835.600,-641.903,-1.761,40.000,-48.143,****
3842.000,-649.086,-1.758,40.400,-48.681,****
3848.400,-649.139,-1.754,40.800,-48.685,****
3854.800,-683.533,-1.756,41.300,-51.265,****
3861.200,-678.669,-1.752,41.700,-50.900,****
3867.600,-684.504,-1.749,42.100,-51.338,****
3874.000,-702.991,-1.749,42.600,-52.724,****
3880.400,-703.615,-1.745,43.000,-52.771,****
3886.800,-704.458,-1.743,43.400,-52.834,****
3893.200,-701.990,-1.740,43.800,-52.649,****
3899.600,-703.375,-1.735,44.300,-52.753,****
3906.000,-691.281,-1.733,44.700,-51.846,****
3912.400,-683.587,-1.729,45.100,-51.269,****
3918.800,-682.404,-1.725,45.500,-51.180,****
3925.200,-655.934,-1.717,45.900,-49.195,****
3931.600,-657.862,-1.713,46.400,-49.340,****
3938.000,-650.553,-1.708,46.800,-48.791,****
3944.400,-632.180,-1.700,47.200,-47.413,****
3950.800,-630.859,-1.695,47.700,-47.314,****
3957.200,-630.654,-1.689,48.200,-47.299,****
3963.600,-642.726,-1.682,48.500,-48.204,****
3970.000,-640.373,-1.677,49.000,-48.028,****
3976.400,-652.508,-1.673,49.400,-48.938,****
3982.800,-652.505,-1.668,49.800,-48.938,****
3989.200,-651.204,-1.662,50.300,-48.840,****
3995.600,-666.709,-1.659,50.700,-50.003,****
4002.000,-670.552,-1.654,51.100,-50.291,****
4008.400,-672.217,-1.648,51.500,-50.416,****
4014.800,-683.227,-1.644,52.000,-51.242,****
4021.200,-679.475,-1.638,52.400,-50.961,****
4027.600,-681.314,-1.632,52.800,-51.099,****
4034.000,-687.117,-1.626,53.200,-51.534,****
4040.400,-676.594,-1.618,53.600,-50.745,****
4046.800,-674.834,-1.611,54.100,-50.613,****
4053.200,-656.934,-1.601,54.500,-49.270,****
4059.600,-636.405,-1.594,54.900,-47.730,****
4066.000,-635.351,-1.586,55.300,-47.651,****
4072.400,-638.988,-1.582,55.800,-47.924,****
4078.800,-662.986,-1.578,56.200,-49.724,****
4085.200,-676.227,-1.572,56.600,-50.717,****
4091.600,-699.452,-1.561,57.100,-52.459,****
4098.000,-667.167,-1.547,57.500,-50.038,****
4104.400,-642.865,-1.536,57.900,-48.215,****
4110.800,-645.765,-1.532,58.300,-48.432,****
4117.200,-670.514,-1.527,58.800,-50.289,****
4123.600,-694.941,-1.518,59.200,-52.121,****
4130.000,-688.016,-1.503,59.700,-51.601,****
4136.400,-657.423,-1.487,60.100,-49.307,****
4142.800,-635.963,-1.479,60.500,-47.697,****
4149.200,-668.910,-1.474,60.900,-50.168,****
4155.600,-691.143,-1.464,61.400,-51.836,****
4162.000,-688.748,-1.447,61.800,-51.656,****
4168.400,-664.318,-1.431,62.200,-49.824,****
4174.800,-645.496,-1.417,62.600,-48.412,****
4181.200,-639.796,-1.409,63.100,-47.985,****
4187.600,-665.814,-1.400,63.500,-49.936,****
4194.000,-684.586,-1.390,63.900,-51.344,****
4200.400,-698.040,-1.375,64.300,-52.353,****
4206.800,-696.719,-1.360,64.700,-52.254,****
4213.200,-689.351,-1.345,65.200,-51.701,****
4219.600,-685.269,-1.331,65.600,-51.395,****
4226.000,-693.848,-1.320,66.000,-52.039,****
4232.400,-698.863,-1.308,66.400,-52.415,****
4238.800,-695.961,-1.297,66.900,-52.197,****
4245.200,-678.497,-1.285,67.300,-50.887,****
4251.600,-663.674,-1.270,67.700,-49.776,****
4258.000,-637.916,-1.252,68.100,-47.844,****
4264.400,-650.343,-1.237,68.600,-48.776,****
4270.800,-678.920,-1.230,69.000,-50.919,****
4277.200,-696.626,-1.225,69.400,-52.247,****
4283.600,-670.333,-1.213,69.900,-50.275,****
4290.000,-641.924,-1.197,70.300,-48.144,****
4296.400,-647.503,-1.183,70.700,-48.563,****
4302.800,-668.009,-1.176,71.100,-50.101,****
4309.200,-697.050,-1.173,71.500,-52.279,****
4315.600,-675.824,-1.166,72.000,-50.687,****
4322.000,-643.574,-1.152,72.500,-48.268,****
4328.400,-650.421,-1.140,72.900,-48.782,****
4334.800,-683.796,-1.138,73.200,-51.285,****
4341.200,-687.505,-1.137,73.700,-51.563,****
4347.600,-650.126,-1.125,74.100,-48.759,****
4354.000,-652.468,-1.112,74.600,-48.935,****
4360.400,-692.951,-1.114,75.000,-51.971,****
4366.800,-673.256,-1.111,75.400,-50.494,****
4373.200,-639.079,-1.097,75.800,-47.931,****
4379.600,-673.937,-1.094,76.300,-50.545,****
4386.000,-687.629,-1.096,76.700,-51.572,****
4392.400,-641.349,-1.084,77.100,-48.101,****
4398.800,-669.211,-1.079,77.400,-50.191,****
4405.200,-683.644,-1.082,77.900,-51.273,****
4411.600,-640.618,-1.071,78.400,-48.046,****
4418.000,-670.592,-1.066,78.800,-50.294,****
4424.400,-678.682,-1.070,79.200,-50.901,****
4430.800,-639.027,-1.057,79.700,-47.927,****
4437.200,-677.857,-1.055,80.200,-50.839,****
4443.600,-674.109,-1.057,80.500,-50.558,****
4450.000,-638.992,-1.044,81.000,-47.924,****
4456.400,-683.983,-1.045,81.400,-51.299,****
4462.800,-665.895,-1.044,81.900,-49.942,****
4469.200,-693.979,-1.042,82.300,-52.048,****
4475.600,-640.106,-1.031,82.600,-48.008,****
4482.000,-676.541,-1.029,83.100,-50.741,****
4488.400,-681.964,-1.032,83.600,-51.147,****
4494.800,-639.361,-1.020,84.000,-47.952,****
4501.200,-681.471,-1.019,84.400,-51.110,****
4507.600,-678.747,-1.021,84.800,-50.906,****
4514.000,-641.145,-1.007,85.200,-48.086,****
4520.400,-683.224,-1.009,85.700,-51.242,****
4526.800,-675.725,-1.011,86.100,-50.679,****
4533.200,-641.651,-0.997,86.500,-48.124,****
4539.600,-682.481,-0.998,86.900,-51.186,****
4546.000,-672.990,-1.000,87.400,-50.474,****
4552.400,-641.324,-0.987,87.800,-48.099,****
4558.800,-681.274,-0.988,88.200,-51.096,****
4565.200,-673.373,-0.990,88.600,-50.503,****
4571.600,-643.839,-0.976,89.200,-48.288,****
4578.000,-678.315,-0.977,89.500,-50.874,****
4584.400,-674.297,-0.980,89.900,-50.572,****
4590.800,-639.451,-0.969,90.300,-47.959,****
4597.200,-677.185,-0.967,90.700,-50.789,****
4603.600,-672.983,-0.970,91.200,-50.474,****
4610.000,-638.771,-0.958,91.600,-47.908,****
4616.400,-675.727,-0.957,92.000,-50.680,****
4622.800,-676.882,-0.961,92.400,-50.766,****
4629.200,-640.162,-0.950,93.000,-48.012,****
4635.600,-680.090,-0.948,93.400,-51.007,****
4642.000,-676.134,-0.951,93.800,-50.710,****
4648.400,-639.355,-0.940,94.200,-47.952,****
4654.800,-669.821,-0.936,94.700,-50.237,****
4661.200,-690.190,-0.941,95.100,-51.764,****
4667.600,-646.843,-0.932,95.500,-48.513,****
4674.000,-666.015,-0.926,95.900,-49.951,****
4680.400,-694.602,-0.930,96.200,-52.095,****
4686.800,-648.559,-0.923,96.800,-48.642,****
4693.200,-660.113,-0.915,97.200,-49.508,****
4699.600,-689.433,-0.918,97.700,-51.708,****
4706.000,-672.948,-0.918,98.000,-50.471,****
4712.400,-639.054,-0.907,98.500,-47.929,****
4718.800,-657.052,-0.902,98.900,-49.279,****
4725.200,-694.292,-0.907,99.300,-52.072,****
4731.600,-678.250,-0.906,99.700,-50.869,****
4738.000,-641.658,-0.896,100.100,-48.124,****
4744.400,-663.627,-0.891,100.600,-49.772,****
4750.800,-691.946,-0.893,101.000,-51.896,****
4757.200,-663.361,-0.891,101.400,-49.752,****
4763.600,-657.045,-0.880,101.800,-49.278,****
4770.000,-690.525,-0.883,102.300,-51.789,****
4776.400,-660.972,-0.881,102.700,-49.573,****
4782.800,-648.393,-0.870,103.100,-48.629,****
4789.200,-684.928,-0.873,103.500,-51.370,****
4795.600,-672.895,-0.874,104.000,-50.467,****
4802.000,-640.616,-0.864,104.300,-48.046,****
4808.400,-659.844,-0.858,104.700,-49.488,****
4814.800,-691.952,-0.865,104.800,-51.896,****
4821.200,-669.464,-0.861,105.000,-50.210,****
4827.600,-644.729,-0.849,105.200,-48.355,****
4834.000,-692.222,-0.853,105.200,-51.917,****
4840.400,-678.627,-0.854,105.300,-50.897,****
4846.800,-640.868,-0.841,105.400,-48.065,****
4853.200,-683.999,-0.843,105.400,-51.300,****
4859.600,-682.567,-0.846,105.500,-51.193,****
4866.000,-640.371,-0.835,105.600,-48.028,****
4872.400,-662.470,-0.830,105.600,-49.685,****
4878.800,-694.100,-0.835,105.700,-52.058,****
4885.200,-652.131,-0.830,105.600,-48.910,****
4891.600,-638.757,-0.822,105.600,-47.907,****
4898.000,-668.149,-0.821,105.600,-50.111,****
4904.400,-688.030,-0.826,105.600,-51.602,****
4910.800,-666.705,-0.822,105.600,-50.003,****
4917.200,-650.588,-0.810,105.600,-48.794,****
4923.600,-687.376,-0.814,105.600,-51.553,****
4930.000,-681.912,-0.816,105.600,-51.143,****
4936.400,-638.952,-0.805,105.500,-47.921,****
4942.800,-662.677,-0.802,105.500,-49.701,****
4949.200,-693.917,-0.807,105.500,-52.044,****
4955.600,-648.025,-0.801,105.400,-48.602,****
4962.000,-652.503,-0.793,105.400,-48.938,****
4968.400,-693.116,-0.801,105.400,-51.984,****
4974.800,-650.306,-0.794,105.400,-48.773,****
4981.200,-646.587,-0.786,105.300,-48.494,****
4987.600,-694.191,-0.792,105.300,-52.064,****
4994.000,-639.895,-0.782,105.300,-47.992,****
5000.400,-673.175,-0.782,105.300,-50.488,****
5006.800,-678.992,-0.788,105.300,-50.924,****
5013.200,-643.869,-0.778,105.300,-48.290,****
5019.600,-663.903,-0.773,105.300,-49.793,****
5026.000,-687.017,-0.781,105.200,-51.526,****
5032.400,-662.801,-0.776,105.200,-49.710,****
5038.800,-656.981,-0.765,105.200,-49.274,****
5045.200,-694.459,-0.772,105.200,-52.084,****
5051.600,-669.181,-0.770,105.100,-50.189,****
5058.000,-651.920,-0.758,105.100,-48.894,****
5064.400,-691.147,-0.764,105.200,-51.836,****
5070.800,-673.289,-0.765,105.200,-50.497,****
5077.200,-647.681,-0.752,105.100,-48.576,****
5083.600,-679.203,-0.755,105.100,-50.940,****
5090.000,-672.106,-0.758,105.100,-50.408,****
5096.400,-655.265,-0.746,105.100,-49.145,****
5102.800,-690.676,-0.751,105.100,-51.801,****
5109.200,-653.549,-0.748,105.100,-49.016,****
5115.600,-661.575,-0.741,105.100,-49.618,****
5122.000,-693.789,-0.746,105.100,-52.034,****
5128.400,-644.045,-0.740,105.100,-48.303,****
5134.800,-664.487,-0.735,105.100,-49.837,****
5141.200,-692.116,-0.742,105.100,-51.909,****
5147.600,-640.618,-0.733,105.100,-48.046,****
5154.000,-657.732,-0.728,105.100,-49.330,****
5160.400,-694.306,-0.735,105.000,-52.073,****
5166.800,-648.171,-0.729,105.100,-48.613,****
5172.350,-693.906,-0.731,105.000,-52.043,****
5172.600,-669.874,-0.729,105.000,-50.241,****
5172.800,-677.795,-0.730,105.000,-50.835,****
5173.000,-687.640,-0.732,105.000,-51.573,****
5173.200,-697.402,-0.734,105.000,-52.305,****
5173.400,-707.836,-0.736,105.000,-53.088,****
5173.600,-717.680,-0.738,105.000,-53.826,****
5173.800,-727.626,-0.740,105.000,-54.572,****
5174.000,-737.449,-0.742,105.000,-55.309,****
5174.200,-747.029,-0.744,105.000,-56.027,****
5174.400,-756.555,-0.746,105.000,-56.742,****
5174.600,-766.499,-0.748,105.000,-57.487,****
5174.800,-776.146,-0.750,105.000,-58.211,****
5175.000,-786.071,-0.752,105.000,-58.955,****
5175.200,-795.403,-0.754,105.000,-59.655,****
5175.400,-805.037,-0.756,105.000,-60.378,****
5175.600,-814.415,-0.758,105.000,-61.081,****
5175.800,-823.887,-0.760,105.000,-61.792,****
5176.000,-834.100,-0.762,105.000,-62.557,****
5176.200,-843.564,-0.764,105.000,-63.267,****
5176.400,-853.192,-0.766,105.000,-63.989,****
5176.600,-862.805,-0.768,105.000,-64.710,****
5176.800,-872.497,-0.770,105.000,-65.437,****
5177.000,-882.131,-0.772,105.100,-66.160,****
5177.200,-892.172,-0.774,105.100,-66.913,****
5177.400,-901.692,-0.776,105.100,-67.627,****
5177.600,-911.154,-0.778,105.100,-68.337,****
5177.800,-921.336,-0.780,105.100,-69.100,****
5178.000,-930.758,-0.782,105.100,-69.807,****
5178.200,-940.347,-0.784,105.100,-70.526,****
5178.400,-949.786,-0.786,105.100,-71.234,****
5178.600,-959.935,-0.788,105.100,-71.995,****
5178.800,-969.249,-0.790,105.100,-72.694,****
5179.000,-979.476,-0.792,105.100,-73.461,****
5179.200,-989.088,-0.794,105.100,-74.182,****
5179.400,-998.957,-0.796,105.100,-74.922,****
5179.600,-1008.940,-0.798,105.100,-75.671,****
5179.800,-1019.197,-0.800,105.100,-76.440,****
5180.000,-1029.115,-0.802,105.000,-77.184,****
5180.200,-1038.916,-0.804,105.000,-77.919,****
5180.400,-1049.524,-0.806,105.000,-78.714,****
5180.600,-1059.253,-0.808,105.000,-79.444,****
5180.800,-1069.019,-0.810,105.000,-80.176,****
5181.000,-1079.346,-0.812,105.000,-80.951,****
5181.200,-1089.674,-0.814,105.000,-81.726,****
5181.400,-1099.704,-0.816,105.100,-82.478,****
5181.600,-1110.288,-0.818,105.100,-83.272,****
5181.800,-1121.035,-0.820,105.100,-84.078,****
5182.000,-1131.230,-0.822,105.100,-84.842,****
5182.200,-1141.743,-0.824,105.100,-85.631,****
5182.400,-1152.380,-0.826,105.100,-86.428,****
5182.600,-1162.565,-0.828,105.100,-87.192,****
5182.800,-1173.203,-0.830,105.100,-87.990,****
5183.000,-1184.262,-0.832,105.100,-88.820,****
5183.200,-1194.756,-0.834,105.100,-89.607,****
5183.400,-1205.337,-0.836,105.100,-90.400,****
5183.600,-1216.361,-0.838,105.100,-91.227,****
5183.800,-1226.973,-0.840,105.100,-92.023,****
5184.000,-1237.923,-0.842,105.100,-92.844,****
5184.200,-1249.294,-0.844,105.100,-93.697,****
5184.400,-1260.822,-0.846,105.100,-94.562,****
5184.600,-1271.510,-0.848,105.100,-95.363,****
