FLUKE 287,  V1.16,38020004,,,,,,,,,,,,
,,,,,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,,,,,
1/23/2019 17:43,1/23/2019 21:00,3:17:01,5:00:00,476,1,476,,,,,,,,
Max Time,Max,,Average,,Min,,Min Time,Scaling,,,,,,
1/23/2019 17:47,101.9,°C,38.4299534,°C,-35.7,°C,1/23/2019 19:15,(none),,,,,,
,,,,,,,,,,,,,,
Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
439,39,°C,00:23.4,00:51.0,01:14.2,40.5,°C,39.8029703,°C,00:23.4,39,°C,Stable,01:14.4
440,40.6,°C,01:14.4,00:49.9,02:03.5,42.2,°C,41.3564557,°C,01:14.4,40.6,°C,Stable,02:04.3
441,42.3,°C,02:04.3,01:13.5,03:16.0,43.9,°C,43.02783505,°C,02:06.6,42.1,°C,Stable,03:17.8
442,44,°C,03:17.8,00:46.0,03:58.7,45.7,°C,44.79807692,°C,03:20.1,43.8,°C,Stable,04:03.9
443,45.8,°C,04:03.9,01:11.6,05:12.8,47.6,°C,46.66489362,°C,04:04.4,45.7,°C,Stable,05:15.4
444,47.8,°C,05:15.4,00:58.0,06:12.9,49.7,°C,48.63369565,°C,05:21.0,47.6,°C,Stable,06:13.4
445,49.8,°C,06:13.4,01:02.3,07:12.9,51.7,°C,50.66315789,°C,06:14.8,49.7,°C,Stable,07:15.8
446,51.8,°C,07:15.8,00:56.1,08:05.6,53.8,°C,52.87110609,°C,07:16.6,51.7,°C,Stable,08:11.8
447,53.9,°C,08:11.8,00:58.9,09:06.9,56,°C,55.00256959,°C,08:14.1,53.8,°C,Stable,09:10.7
448,56.2,°C,09:10.7,00:58.3,10:06.3,58.4,°C,57.22294372,°C,09:12.5,56,°C,Stable,10:09.0
449,58.5,°C,10:09.0,01:11.8,11:17.0,60.8,°C,59.49384886,°C,10:10.5,58.3,°C,Stable,11:20.9
450,60.9,°C,11:20.9,01:09.1,12:29.6,63.3,°C,61.97069597,°C,11:20.9,60.9,°C,Stable,12:30.0
451,63.4,°C,12:30.0,01:26.4,13:53.0,65.9,°C,64.63508772,°C,12:30.4,63.3,°C,Stable,13:56.4
452,66,°C,13:56.4,01:14.5,15:08.6,68.6,°C,67.31273345,°C,13:58.3,65.9,°C,Stable,15:10.8
453,68.7,°C,15:10.8,01:22.0,16:31.2,71.4,°C,69.91587057,°C,15:11.1,68.6,°C,Stable,16:32.8
454,71.5,°C,16:32.8,01:30.4,17:58.3,74.3,°C,72.74832402,°C,16:35.0,71.3,°C,Stable,18:03.2
455,74.4,°C,18:03.2,01:32.4,19:32.9,77.3,°C,75.71855389,°C,18:10.6,74.3,°C,Stable,19:35.6
456,77.4,°C,19:35.6,01:42.8,21:08.4,80.4,°C,78.90258303,°C,19:35.6,77.4,°C,Stable,21:18.4
457,80.5,°C,21:18.4,01:44.4,22:56.8,83.7,°C,82.21281741,°C,21:18.4,80.5,°C,Stable,23:02.8
458,83.8,°C,23:02.8,01:35.8,24:37.1,87.1,°C,85.46798419,°C,23:03.5,83.6,°C,Stable,24:38.6
459,87.2,°C,24:38.6,01:45.9,26:21.5,90.6,°C,88.83313468,°C,24:45.5,87.1,°C,Stable,26:24.5
460,90.8,°C,26:24.5,02:03.1,28:25.3,94.4,°C,92.51825641,°C,26:29.3,90.6,°C,Stable,28:27.6
461,94.5,°C,28:27.6,07:59.2,35:55.7,98.2,°C,96.76032165,°C,28:27.6,94.5,°C,Stable,36:26.8
462,98.3,°C,36:26.8,11:00.1,43:15.6,100.1,°C,98.51042264,°C,47:18.8,94.4,°C,Stable,47:27.0
463,94.3,°C,47:27.0,02:31.6,47:27.0,94.3,°C,92.50625521,°C,49:57.8,90.6,°C,Stable,49:58.5
464,90.5,°C,49:58.5,02:31.8,49:58.5,90.5,°C,88.82273106,°C,52:30.1,86.9,°C,Stable,52:30.3
465,86.8,°C,52:30.3,02:13.6,52:33.7,86.9,°C,85.1422895,°C,54:35.0,83.4,°C,Stable,54:43.9
466,83.3,°C,54:43.9,02:12.9,54:43.9,83.3,°C,81.63339676,°C,56:55.7,80,°C,Stable,56:56.8
467,79.9,°C,56:56.8,01:49.6,56:56.8,79.9,°C,78.2384083,°C,58:20.2,76.9,°C,Stable,58:46.3
468,76.7,°C,58:46.3,01:19.6,58:51.3,76.9,°C,75.64705882,°C,00:05.7,74,°C,Stable,00:05.9
469,72.9,°C,00:05.9,00:01.1,00:05.9,72.9,°C,71.92222222,°C,00:06.8,70.6,°C,Unstable,00:07.1
470,69.9,°C,00:07.1,00:02.7,00:07.1,69.9,°C,68.63809524,°C,00:09.4,67.5,°C,Stable,00:09.8
471,67.1,°C,00:09.8,00:02.9,00:09.8,67.1,°C,63.07826087,°C,00:12.4,58,°C,Unstable,00:12.7
472,57.2,°C,00:12.7,00:01.7,00:12.7,57.2,°C,56.04615385,°C,00:13.8,55,°C,Stable,00:14.4
473,54.2,°C,00:14.4,00:02.6,00:14.4,54.2,°C,50.97,°C,00:16.6,47.1,°C,Unstable,00:16.9
474,46.8,°C,00:16.9,00:03.7,00:16.9,46.8,°C,45.91034483,°C,00:20.2,45.1,°C,Stable,00:20.6
475,44.9,°C,00:20.6,00:01.2,00:20.6,44.9,°C,44.56666667,°C,00:21.7,44.1,°C,Stable,00:21.8
476,44.1,°C,00:21.8,00:00.0,,,,,,,,,Logging Stopped,00:21.8
,,,,,,,,,,,,,,
,,°C,,Average °C,,,,,,,,,,
1,Sample,101.5,43:21.2,100.9103309,,,,,,,,,,
1,Max,101.9,47:55.0,,,,,,,,,,,
1,Min,97.5,52:03.0,,,,,,,,,,,
2,Sample,97.4,52:11.3,95.6011254,,,,,,,,,,
2,Max,97.4,52:11.3,,,,,,,,,,,
2,Min,93.6,54:43.5,,,,,,,,,,,
3,Sample,93.5,54:48.4,91.81762162,,,,,,,,,,
3,Max,93.5,54:48.4,,,,,,,,,,,
3,Min,89.9,56:44.3,,,,,,,,,,,
4,Sample,89.7,56:45.2,87.91994536,,,,,,,,,,
4,Max,90.2,56:52.3,,,,,,,,,,,
4,Min,86.2,58:55.0,,,,,,,,,,,
5,Sample,86.1,59:03.9,84.56396714,,,,,,,,,,
5,Max,86.1,59:03.9,,,,,,,,,,,
5,Min,82.7,00:50.5,,,,,,,,,,,
6,Sample,82.6,00:51.4,81.21644359,,,,,,,,,,
6,Max,83.2,00:55.0,,,,,,,,,,,
6,Min,79.3,03:02.9,,,,,,,,,,,
7,Sample,79,03:03.3,77.4408949,,,,,,,,,,
7,Max,79,03:03.3,,,,,,,,,,,
7,Min,75.9,04:32.4,,,,,,,,,,,
8,Sample,75.8,05:04.9,74.62638484,,,,,,,,,,
8,Max,76,05:08.6,,,,,,,,,,,
8,Min,72.8,06:31.4,,,,,,,,,,,
9,Sample,72.7,06:31.6,71.77093301,,,,,,,,,,
9,Max,73.4,06:36.6,,,,,,,,,,,
9,Min,69.8,08:16.8,,,,,,,,,,,
10,Sample,69.7,08:17.2,68.54235537,,,,,,,,,,
10,Max,69.7,08:17.2,,,,,,,,,,,
10,Min,67,09:17.7,,,,,,,,,,,
11,Sample,66.9,09:18.2,65.82547771,,,,,,,,,,
11,Max,67.5,09:22.3,,,,,,,,,,,
11,Min,64.3,10:35.6,,,,,,,,,,,
12,Sample,64.2,10:37.3,63.47785059,,,,,,,,,,
12,Max,64.8,10:41.2,,,,,,,,,,,
12,Min,61.8,12:13.2,,,,,,,,,,,
13,Sample,61.6,12:13.6,60.92068345,,,,,,,,,,
13,Max,62.7,12:20.0,,,,,,,,,,,
13,Min,59.4,13:15.2,,,,,,,,,,,
14,Sample,59.1,13:23.9,58.3957037,,,,,,,,,,
14,Max,60.3,13:28.8,,,,,,,,,,,
14,Min,56.8,14:28.9,,,,,,,,,,,
15,Sample,56.7,14:49.2,56.08375912,,,,,,,,,,
15,Max,57.4,15:02.7,,,,,,,,,,,
15,Min,54.5,15:58.0,,,,,,,,,,,
16,Sample,54.4,15:58.3,54.136953,,,,,,,,,,
16,Max,55.8,16:04.7,,,,,,,,,,,
16,Min,52.3,17:15.7,,,,,,,,,,,
17,Sample,52.2,17:16.2,51.55729927,,,,,,,,,,
17,Max,53,17:30.3,,,,,,,,,,,
17,Min,50.2,18:25.0,,,,,,,,,,,
18,Sample,50.1,18:25.3,49.48008214,,,,,,,,,,
18,Max,51.1,18:29.8,,,,,,,,,,,
18,Min,48.1,19:19.2,,,,,,,,,,,
19,Sample,48,19:26.8,47.44425428,,,,,,,,,,
19,Max,48.4,19:52.2,,,,,,,,,,,
19,Min,46.1,20:18.0,,,,,,,,,,,
20,Sample,46,20:18.4,46.04555556,,,,,,,,,,
20,Max,47,20:49.7,,,,,,,,,,,
20,Min,44.4,21:03.6,,,,,,,,,,,
21,Sample,44,21:04.0,44.13426488,,,,,,,,,,
21,Max,45.7,21:19.7,,,,,,,,,,,
21,Min,42.3,22:39.4,,,,,,,,,,,
22,Sample,42.2,22:47.9,41.77378049,,,,,,,,,,
22,Max,42.7,22:53.2,,,,,,,,,,,
22,Min,40.7,23:08.1,,,,,,,,,,,
23,Sample,40.4,23:08.6,40.54554264,,,,,,,,,,
23,Max,41.9,23:25.0,,,,,,,,,,,
23,Min,38.9,23:42.3,,,,,,,,,,,
24,Sample,38.7,24:13.7,39.39622642,,,,,,,,,,
24,Min,38.6,24:14.0,,,,,,,,,,,
24,Max,40.2,24:20.0,,,,,,,,,,,
25,Sample,40.3,24:20.4,39.58,,,,,,,,,,
25,Max,40.3,24:20.4,,,,,,,,,,,
25,Min,38.7,24:23.8,,,,,,,,,,,
26,Sample,38.6,24:24.1,38.529683,,,,,,,,,,
26,Max,40,24:29.4,,,,,,,,,,,
26,Min,37.1,25:07.6,,,,,,,,,,,
27,Sample,36.8,25:08.0,37.45121951,,,,,,,,,,
27,Min,36.8,25:08.0,,,,,,,,,,,
27,Max,38.2,25:12.8,,,,,,,,,,,
28,Sample,38.3,25:13.1,37.99901961,,,,,,,,,,
28,Max,38.6,25:16.6,,,,,,,,,,,
28,Min,36.9,25:25.9,,,,,,,,,,,
29,Sample,36.7,25:26.1,36.90536585,,,,,,,,,,
29,Max,38,25:33.3,,,,,,,,,,,
29,Min,35.3,25:51.7,,,,,,,,,,,
30,Sample,35.1,25:52.0,35.5,,,,,,,,,,
30,Min,35,25:52.5,,,,,,,,,,,
30,Max,36.4,25:56.5,,,,,,,,,,,
31,Sample,36.6,25:56.9,36.00869565,,,,,,,,,,
31,Max,36.6,25:56.9,,,,,,,,,,,
31,Min,35.2,25:59.6,,,,,,,,,,,
32,Sample,35,25:59.8,34.99143646,,,,,,,,,,
32,Max,36.1,26:14.4,,,,,,,,,,,
32,Min,33.7,26:45.2,,,,,,,,,,,
33,Sample,33.5,26:45.6,33.41233244,,,,,,,,,,
33,Max,34.3,27:05.8,,,,,,,,,,,
33,Min,32.3,27:32.3,,,,,,,,,,,
34,Sample,32.1,27:32.7,32.58,,,,,,,,,,
34,Min,32.1,27:32.7,,,,,,,,,,,
34,Max,33.2,27:36.1,,,,,,,,,,,
35,Sample,33.4,27:36.4,33.41630435,,,,,,,,,,
35,Max,33.9,27:42.1,,,,,,,,,,,
35,Min,32.1,27:47.6,,,,,,,,,,,
36,Sample,32,27:48.1,31.93064516,,,,,,,,,,
36,Max,32.7,27:52.2,,,,,,,,,,,
36,Min,30.8,27:55.5,,,,,,,,,,,
37,Sample,30.7,27:56.0,31.12758621,,,,,,,,,,
37,Min,30.7,27:56.0,,,,,,,,,,,
37,Max,31.9,27:59.4,,,,,,,,,,,
38,Sample,32,27:59.6,32.06808511,,,,,,,,,,
38,Max,32.7,28:01.1,,,,,,,,,,,
38,Min,30.9,28:05.3,,,,,,,,,,,
39,Sample,30.7,28:05.5,30.688,,,,,,,,,,
39,Max,31.9,28:26.3,,,,,,,,,,,
39,Min,29.5,28:55.8,,,,,,,,,,,
40,Sample,29.2,28:56.0,29.23943089,,,,,,,,,,
40,Min,28.3,29:05.8,,,,,,,,,,,
40,Max,30.3,29:10.3,,,,,,,,,,,
41,Sample,28,29:27.1,28.22285714,,,,,,,,,,
41,Min,27.8,29:27.5,,,,,,,,,,,
41,Max,29,29:31.3,,,,,,,,,,,
42,Sample,29.2,29:31.6,28.88235294,,,,,,,,,,
42,Max,29.4,29:32.5,,,,,,,,,,,
42,Min,28.1,29:35.3,,,,,,,,,,,
43,Sample,27.9,29:35.8,28.00909091,,,,,,,,,,
43,Min,27.3,29:36.9,,,,,,,,,,,
43,Max,29,29:41.0,,,,,,,,,,,
44,Sample,29.1,29:41.4,28.9025,,,,,,,,,,
44,Max,29.3,29:44.3,,,,,,,,,,,
44,Min,28.2,29:50.4,,,,,,,,,,,
45,Sample,27.9,29:51.5,27.74354839,,,,,,,,,,
45,Min,26.8,29:53.2,,,,,,,,,,,
45,Max,28.9,29:58.9,,,,,,,,,,,
46,Sample,29.1,29:59.4,28.615,,,,,,,,,,
46,Max,29.1,29:59.4,,,,,,,,,,,
46,Min,28.1,30:01.6,,,,,,,,,,,
47,Sample,27.8,30:01.9,27.82245989,,,,,,,,,,
47,Max,28.6,30:07.2,,,,,,,,,,,
47,Min,26.8,30:25.1,,,,,,,,,,,
48,Sample,26.6,30:25.5,26.96551724,,,,,,,,,,
48,Min,26.6,30:25.5,,,,,,,,,,,
48,Max,27.6,30:28.9,,,,,,,,,,,
49,Sample,27.8,30:29.2,27.60909091,,,,,,,,,,
49,Max,27.9,30:29.7,,,,,,,,,,,
49,Min,26.9,30:31.4,,,,,,,,,,,
50,Sample,26.6,30:31.9,26.76136364,,,,,,,,,,
50,Min,26,30:32.6,,,,,,,,,,,
50,Max,27.6,30:37.0,,,,,,,,,,,
51,Sample,27.7,30:37.5,27.2015873,,,,,,,,,,
51,Max,28,30:38.2,,,,,,,,,,,
51,Min,26.6,30:52.2,,,,,,,,,,,
52,Sample,26.5,30:53.6,26.03793103,,,,,,,,,,
52,Max,26.5,30:53.6,,,,,,,,,,,
52,Min,25.5,30:57.0,,,,,,,,,,,
53,Sample,25.4,30:57.2,25.7025,,,,,,,,,,
53,Min,25.1,30:58.1,,,,,,,,,,,
53,Max,26.4,31:01.8,,,,,,,,,,,
54,Sample,26.6,31:02.3,26.30344828,,,,,,,,,,
54,Max,26.9,31:02.9,,,,,,,,,,,
54,Min,25.6,31:05.7,,,,,,,,,,,
55,Sample,25.3,31:05.9,25.38333333,,,,,,,,,,
55,Min,24.6,31:07.0,,,,,,,,,,,
55,Max,26.3,31:10.4,,,,,,,,,,,
56,Sample,26.6,31:11.2,26.38333333,,,,,,,,,,
56,Max,27,31:12.3,,,,,,,,,,,
56,Min,25.7,31:15.2,,,,,,,,,,,
57,Sample,25.5,31:15.7,25.45463918,,,,,,,,,,
57,Max,26.3,31:25.8,,,,,,,,,,,
57,Min,24.5,31:27.6,,,,,,,,,,,
58,Sample,24.4,31:28.0,24.46034483,,,,,,,,,,
58,Min,23.6,31:29.2,,,,,,,,,,,
58,Max,25.2,31:42.1,,,,,,,,,,,
59,Sample,25.5,31:42.6,25.10625,,,,,,,,,,
59,Max,25.7,31:43.3,,,,,,,,,,,
59,Min,24.6,31:50.5,,,,,,,,,,,
60,Sample,24.4,31:50.8,24.06666667,,,,,,,,,,
60,Max,24.4,31:50.8,,,,,,,,,,,
60,Min,23.5,31:52.7,,,,,,,,,,,
61,Sample,23.2,31:53.1,23.47037037,,,,,,,,,,
61,Min,23,31:53.4,,,,,,,,,,,
61,Max,24.1,31:56.1,,,,,,,,,,,
62,Sample,24.2,31:56.5,24.30285714,,,,,,,,,,
62,Max,24.8,31:57.9,,,,,,,,,,,
62,Min,23.3,32:00.6,,,,,,,,,,,
63,Sample,23,32:00.9,23.31428571,,,,,,,,,,
63,Min,23,32:00.9,,,,,,,,,,,
63,Max,23.8,32:03.1,,,,,,,,,,,
64,Sample,24,32:03.5,24.37647059,,,,,,,,,,
64,Min,24,32:03.5,,,,,,,,,,,
64,Max,24.8,32:05.4,,,,,,,,,,,
65,Sample,25,32:05.7,24.68157895,,,,,,,,,,
65,Min,24.1,32:13.3,,,,,,,,,,,
65,Max,25.3,32:16.7,,,,,,,,,,,
66,Sample,24,32:20.1,23.73658537,,,,,,,,,,
66,Max,24.3,32:21.1,,,,,,,,,,,
66,Min,23.1,32:24.9,,,,,,,,,,,
67,Sample,22.7,32:25.2,22.77560976,,,,,,,,,,
67,Min,22.4,32:25.6,,,,,,,,,,,
67,Max,23.5,32:30.0,,,,,,,,,,,
68,Sample,23.7,32:30.4,23.45555556,,,,,,,,,,
68,Max,23.7,32:30.4,,,,,,,,,,,
68,Min,23.1,32:31.2,,,,,,,,,,,
69,Sample,22.7,32:31.5,22.59824561,,,,,,,,,,
69,Min,21.8,32:33.8,,,,,,,,,,,
69,Max,23.6,32:37.6,,,,,,,,,,,
70,Sample,23.7,32:38.8,23.4384058,,,,,,,,,,
70,Min,22.9,32:44.7,,,,,,,,,,,
70,Max,24.1,32:47.7,,,,,,,,,,,
71,Sample,22.6,32:56.2,22.65833333,,,,,,,,,,
71,Min,22.2,32:57.1,,,,,,,,,,,
71,Max,23.4,33:00.4,,,,,,,,,,,
72,Sample,23.6,33:00.7,23.51666667,,,,,,,,,,
72,Max,23.9,33:01.1,,,,,,,,,,,
72,Min,22.8,33:02.6,,,,,,,,,,,
73,Sample,22.5,33:03.0,22.2,,,,,,,,,,
73,Max,22.5,33:03.0,,,,,,,,,,,
73,Min,21.8,33:04.1,,,,,,,,,,,
74,Sample,21.4,33:04.5,21.70857143,,,,,,,,,,
74,Min,21.3,33:04.9,,,,,,,,,,,
74,Max,22.3,33:08.6,,,,,,,,,,,
75,Sample,22.5,33:09.0,22.39662162,,,,,,,,,,
75,Max,23.3,33:19.2,,,,,,,,,,,
75,Min,21.6,33:27.0,,,,,,,,,,,
76,Sample,21.5,33:27.6,21.45588235,,,,,,,,,,
76,Max,22.4,33:33.7,,,,,,,,,,,
76,Min,20.8,33:36.0,,,,,,,,,,,
77,Sample,20.5,33:36.3,20.70689655,,,,,,,,,,
77,Min,20.3,33:37.1,,,,,,,,,,,
77,Max,21.3,33:39.7,,,,,,,,,,,
78,Sample,21.5,33:39.9,21.57291667,,,,,,,,,,
78,Max,22.2,33:41.6,,,,,,,,,,,
78,Min,20.7,33:45.7,,,,,,,,,,,
79,Sample,20.5,33:46.0,20.66153846,,,,,,,,,,
79,Min,20.2,33:47.6,,,,,,,,,,,
79,Max,21.4,33:50.6,,,,,,,,,,,
80,Sample,21.5,33:50.9,21.21875,,,,,,,,,,
80,Max,21.6,33:51.7,,,,,,,,,,,
80,Min,20.7,33:58.8,,,,,,,,,,,
81,Sample,20.5,33:59.0,20.5,,,,,,,,,,
81,Min,19.8,34:00.9,,,,,,,,,,,
81,Max,21.4,34:05.4,,,,,,,,,,,
82,Sample,21.6,34:05.8,21.48,,,,,,,,,,
82,Max,21.7,34:06.2,,,,,,,,,,,
82,Min,20.9,34:07.3,,,,,,,,,,,
83,Sample,20.5,34:07.7,20.2,,,,,,,,,,
83,Max,20.5,34:07.7,,,,,,,,,,,
83,Min,19.9,34:08.8,,,,,,,,,,,
84,Sample,19.5,34:09.2,19.54358974,,,,,,,,,,
84,Min,19,34:09.9,,,,,,,,,,,
84,Max,20.3,34:13.6,,,,,,,,,,,
85,Sample,20.6,34:14.1,20.28285714,,,,,,,,,,
85,Max,20.7,34:15.3,,,,,,,,,,,
85,Min,19.8,34:18.2,,,,,,,,,,,
86,Sample,19.5,34:18.6,19.55730337,,,,,,,,,,
86,Min,18.9,34:26.0,,,,,,,,,,,
86,Max,20.3,34:29.4,,,,,,,,,,,
87,Sample,20.6,34:29.8,20.38333333,,,,,,,,,,
87,Max,20.6,34:29.8,,,,,,,,,,,
87,Min,19.9,34:31.6,,,,,,,,,,,
88,Sample,19.5,34:32.1,19.45510204,,,,,,,,,,
88,Min,18.7,34:33.9,,,,,,,,,,,
88,Max,20.4,34:38.0,,,,,,,,,,,
89,Sample,20.5,34:38.3,20.15806452,,,,,,,,,,
89,Max,20.6,34:38.8,,,,,,,,,,,
89,Min,19.6,34:41.7,,,,,,,,,,,
90,Sample,19.4,34:42.2,19.18977273,,,,,,,,,,
90,Min,18.7,34:45.5,,,,,,,,,,,
90,Max,19.9,34:48.2,,,,,,,,,,,
91,Sample,18.4,34:53.3,18.75714286,,,,,,,,,,
91,Min,18.4,34:53.3,,,,,,,,,,,
91,Max,19.2,34:55.6,,,,,,,,,,,
92,Sample,19.4,34:56.0,19.275,,,,,,,,,,
92,Max,19.6,34:56.2,,,,,,,,,,,
92,Min,18.7,34:58.1,,,,,,,,,,,
93,Sample,18.4,34:58.5,18.34047619,,,,,,,,,,
93,Min,17.9,35:00.4,,,,,,,,,,,
93,Max,19.1,35:03.4,,,,,,,,,,,
94,Sample,19.4,35:03.8,18.94255319,,,,,,,,,,
94,Max,19.6,35:04.6,,,,,,,,,,,
94,Min,18.5,35:07.9,,,,,,,,,,,
95,Sample,18.4,35:09.8,18.16046512,,,,,,,,,,
95,Min,17.5,35:13.9,,,,,,,,,,,
95,Max,19.3,35:17.6,,,,,,,,,,,
96,Sample,17.3,35:20.6,17.53636364,,,,,,,,,,
96,Min,17.2,35:21.0,,,,,,,,,,,
96,Max,18,35:24.0,,,,,,,,,,,
97,Sample,18.4,35:24.7,17.94222222,,,,,,,,,,
97,Max,18.5,35:25.1,,,,,,,,,,,
97,Min,17.5,35:27.4,,,,,,,,,,,
98,Sample,17.4,35:30.4,17.45913043,,,,,,,,,,
98,Max,18,35:37.1,,,,,,,,,,,
98,Min,16.5,35:44.5,,,,,,,,,,,
99,Sample,16.3,35:44.9,16.65217391,,,,,,,,,,
99,Min,16.3,35:44.9,,,,,,,,,,,
99,Max,17,35:47.5,,,,,,,,,,,
100,Sample,17.3,35:47.8,17.0225,,,,,,,,,,
100,Max,17.6,35:48.7,,,,,,,,,,,
100,Min,16.5,35:52.3,,,,,,,,,,,
101,Sample,16.3,35:52.8,16.74347826,,,,,,,,,,
101,Min,16.3,35:52.8,,,,,,,,,,,
101,Max,17.2,35:55.0,,,,,,,,,,,
102,Sample,17.3,35:55.7,17.27878788,,,,,,,,,,
102,Max,18.1,35:57.3,,,,,,,,,,,
102,Min,16.5,36:02.1,,,,,,,,,,,
103,Sample,16.2,36:04.0,16.56478873,,,,,,,,,,
103,Min,16.2,36:04.0,,,,,,,,,,,
103,Max,17.1,36:12.5,,,,,,,,,,,
104,Sample,17.3,36:13.0,17.15172414,,,,,,,,,,
104,Max,17.5,36:13.4,,,,,,,,,,,
104,Min,16.5,36:16.4,,,,,,,,,,,
105,Sample,16.2,36:16.7,16.08032787,,,,,,,,,,
105,Max,16.9,36:22.0,,,,,,,,,,,
105,Min,15.3,36:31.6,,,,,,,,,,,
106,Sample,14.8,36:32.1,14.84516129,,,,,,,,,,
106,Min,14.5,36:32.8,,,,,,,,,,,
106,Max,15.5,36:35.8,,,,,,,,,,,
107,Sample,15.8,36:36.1,15.48333333,,,,,,,,,,
107,Max,15.8,36:36.1,,,,,,,,,,,
107,Min,14.9,36:38.1,,,,,,,,,,,
108,Sample,14.7,36:38.3,14.74,,,,,,,,,,
108,Min,14.2,36:40.0,,,,,,,,,,,
108,Max,15.6,36:42.9,,,,,,,,,,,
109,Sample,15.8,36:43.4,15.39512195,,,,,,,,,,
109,Max,16.1,36:44.0,,,,,,,,,,,
109,Min,14.9,36:53.5,,,,,,,,,,,
110,Sample,14.8,36:53.7,14.97678571,,,,,,,,,,
110,Max,15.7,36:57.9,,,,,,,,,,,
110,Min,14,37:00.4,,,,,,,,,,,
111,Sample,13.8,37:00.8,13.92692308,,,,,,,,,,
111,Min,13.4,37:01.3,,,,,,,,,,,
111,Max,14.5,37:03.9,,,,,,,,,,,
112,Sample,14.8,37:04.1,15.35384615,,,,,,,,,,
112,Min,14.8,37:04.1,,,,,,,,,,,
112,Max,15.7,37:06.9,,,,,,,,,,,
113,Sample,15.8,37:07.5,15.37272727,,,,,,,,,,
113,Max,15.8,37:07.5,,,,,,,,,,,
113,Min,14.9,37:11.0,,,,,,,,,,,
114,Sample,14.8,37:11.7,14.3516129,,,,,,,,,,
114,Max,14.8,37:11.7,,,,,,,,,,,
114,Min,14,37:15.1,,,,,,,,,,,
115,Sample,13.8,37:19.6,13.69285714,,,,,,,,,,
115,Min,13,37:21.0,,,,,,,,,,,
115,Max,14.5,37:24.3,,,,,,,,,,,
116,Sample,14.8,37:24.8,14.525,,,,,,,,,,
116,Max,15.1,37:25.5,,,,,,,,,,,
116,Min,13.9,37:31.5,,,,,,,,,,,
117,Sample,13.8,37:31.9,13.545,,,,,,,,,,
117,Max,14.3,37:34.2,,,,,,,,,,,
117,Min,13,37:41.7,,,,,,,,,,,
118,Sample,12.8,37:42.0,12.84848485,,,,,,,,,,
118,Min,12.4,37:42.8,,,,,,,,,,,
118,Max,13.6,37:45.7,,,,,,,,,,,
119,Sample,13.9,37:46.2,13.7,,,,,,,,,,
119,Max,14.2,37:46.8,,,,,,,,,,,
119,Min,13.1,37:49.6,,,,,,,,,,,
120,Sample,12.7,37:49.8,12.80588235,,,,,,,,,,
120,Min,12.3,37:50.7,,,,,,,,,,,
120,Max,13.6,37:53.6,,,,,,,,,,,
121,Sample,13.8,37:54.1,13.36551724,,,,,,,,,,
121,Max,13.8,37:54.1,,,,,,,,,,,
121,Min,12.9,37:57.0,,,,,,,,,,,
122,Sample,12.8,37:57.8,12.7512987,,,,,,,,,,
122,Max,13.3,38:13.8,,,,,,,,,,,
122,Min,12.1,38:16.8,,,,,,,,,,,
123,Sample,11.7,38:17.2,11.99583333,,,,,,,,,,
123,Min,11.6,38:17.6,,,,,,,,,,,
123,Max,12.6,38:19.8,,,,,,,,,,,
124,Sample,12.7,38:20.2,12.54915254,,,,,,,,,,
124,Max,13.5,38:22.1,,,,,,,,,,,
124,Min,11.8,38:27.2,,,,,,,,,,,
125,Sample,11.7,38:27.7,11.96521739,,,,,,,,,,
125,Min,11.6,38:28.1,,,,,,,,,,,
125,Max,12.5,38:30.2,,,,,,,,,,,
126,Sample,12.7,38:30.6,12.24242424,,,,,,,,,,
126,Max,12.7,38:30.6,,,,,,,,,,,
126,Min,11.9,38:34.4,,,,,,,,,,,
127,Sample,11.7,38:34.8,11.69875,,,,,,,,,,
127,Max,12.4,38:41.4,,,,,,,,,,,
127,Min,10.8,38:44.6,,,,,,,,,,,
128,Sample,10.7,38:44.8,11.03333333,,,,,,,,,,
128,Min,10.7,38:44.8,,,,,,,,,,,
128,Max,11.5,38:46.8,,,,,,,,,,,
129,Sample,11.7,38:47.1,11.45,,,,,,,,,,
129,Max,12.1,38:48.6,,,,,,,,,,,
129,Min,10.8,38:58.3,,,,,,,,,,,
130,Sample,10.4,39:02.5,10.29444444,,,,,,,,,,
130,Min,9.5,39:03.6,,,,,,,,,,,
130,Max,11.3,39:08.4,,,,,,,,,,,
131,Sample,9.4,39:23.0,9.838983051,,,,,,,,,,
131,Max,10.3,39:26.0,,,,,,,,,,,
131,Min,9.3,39:35.0,,,,,,,,,,,
132,Sample,10.4,39:37.9,9.976923077,,,,,,,,,,
132,Max,10.4,39:37.9,,,,,,,,,,,
132,Min,9.5,39:39.0,,,,,,,,,,,
133,Sample,9.1,39:39.5,8.8375,,,,,,,,,,
133,Max,9.1,39:39.5,,,,,,,,,,,
133,Min,8.6,39:40.2,,,,,,,,,,,
134,Sample,8,39:40.6,8.325,,,,,,,,,,
134,Min,7.9,39:41.0,,,,,,,,,,,
134,Max,8.9,39:42.9,,,,,,,,,,,
