"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""
"0.136,928.256,0.04795,50.00,1.039,2035.485"
"0.136,930.379,0.04805,50.00,1.041,2040.141"
"0.136,932.495,0.04815,50.00,1.044,2044.780"
"0.136,934.499,0.04825,50.00,1.046,2049.176"
"0.137,936.764,0.04835,50.00,1.049,2054.141"
"0.137,938.738,0.04844,50.00,1.051,2058.470"
"0.137,940.610,0.04854,49.90,1.054,2062.576"
"0.138,942.854,0.04864,49.90,1.056,2067.496"
"0.138,945.113,0.04874,49.90,1.059,2072.449"
"0.138,947.431,0.04884,49.90,1.061,2077.533"
"0.138,949.664,0.04894,49.90,1.064,2082.429"
"0.139,951.889,0.04904,49.90,1.066,2087.308"
"0.139,954.171,0.04913,49.90,1.069,2092.313"
"0.139,956.418,0.04923,49.90,1.071,2097.238"
"0.139,958.635,0.04933,49.90,1.074,2102.101"
"0.140,960.599,0.04943,49.90,1.076,2106.407"
"0.140,962.687,0.04953,49.90,1.079,2110.985"
"0.140,964.940,0.04963,49.80,1.081,2115.926"
"0.141,967.221,0.04973,49.80,1.084,2120.928"
"0.141,969.284,0.04982,49.80,1.086,2125.452"
"0.141,971.481,0.04992,49.80,1.089,2130.268"
"0.141,973.711,0.05002,49.80,1.091,2135.160"
"0.142,976.004,0.05012,49.80,1.094,2140.188"
"0.142,978.227,0.05022,49.80,1.096,2145.061"
"0.142,980.399,0.05031,49.80,1.099,2149.824"
"0.143,982.662,0.05041,49.80,1.101,2154.787"
"0.143,984.844,0.05051,49.80,1.104,2159.571"
"0.143,987.129,0.05061,49.80,1.106,2164.583"
"0.143,989.371,0.05071,49.80,1.109,2169.498"
"0.144,991.536,0.05081,49.80,1.111,2174.245"
"0.144,993.797,0.05091,49.80,1.114,2179.203"
"0.144,995.948,0.05101,49.80,1.116,2183.920"
"0.144,998.146,0.05111,49.80,1.119,2188.739"
"0.145,1000.342,0.05120,49.80,1.121,2193.555"
"0.145,1002.579,0.05130,49.80,1.124,2198.460"
"0.145,1004.792,0.05140,49.80,1.126,2203.313"
"0.146,1006.979,0.05150,49.80,1.129,2208.110"
"0.146,1009.160,0.05159,49.80,1.131,2212.892"
"0.146,1011.287,0.05169,49.80,1.134,2217.557"
"0.146,1013.585,0.05179,49.80,1.136,2222.595"
"0.147,1015.747,0.05189,49.80,1.139,2227.336"
"0.147,1017.966,0.05199,49.80,1.141,2232.202"
"0.147,1020.153,0.05208,49.80,1.144,2236.998"
"0.148,1022.289,0.05218,49.80,1.146,2241.682"
"0.148,1024.516,0.05228,49.80,1.149,2246.565"
"0.148,1026.617,0.05238,49.80,1.151,2251.172"
"0.148,1028.874,0.05248,49.80,1.154,2256.121"
"0.149,1031.088,0.05258,49.80,1.156,2260.975"
"0.149,1032.796,0.05268,49.80,1.159,2264.720"
"0.149,1035.023,0.05278,49.80,1.161,2269.604"
"0.149,1037.141,0.05287,49.80,1.164,2274.249"
"0.150,1039.374,0.05297,49.80,1.166,2279.146"
"0.150,1041.525,0.05307,49.80,1.169,2283.862"
"0.150,1043.792,0.05317,49.70,1.171,2288.833"
"0.151,1046.045,0.05327,49.70,1.174,2293.773"
"0.151,1048.222,0.05336,49.80,1.176,2298.548"
"0.151,1050.451,0.05346,49.80,1.179,2303.436"
"0.151,1052.697,0.05356,49.80,1.181,2308.359"
"0.152,1054.954,0.05366,49.80,1.184,2313.310"
"0.152,1057.073,0.05376,49.80,1.186,2317.956"
"0.152,1059.229,0.05386,49.80,1.189,2322.683"
"0.153,1061.447,0.05396,49.80,1.191,2327.548"
"0.153,1063.689,0.05406,49.80,1.194,2332.464"
"0.153,1065.962,0.05415,49.80,1.196,2337.449"
"0.153,1068.165,0.05425,49.80,1.199,2342.277"
"0.154,1070.246,0.05435,49.80,1.201,2346.842"
"0.154,1072.504,0.05445,49.80,1.204,2351.792"
"0.154,1074.733,0.05455,49.70,1.206,2356.682"
"0.154,1076.967,0.05465,49.70,1.209,2361.580"
"0.155,1079.100,0.05474,49.70,1.211,2366.257"
"0.155,1081.292,0.05484,49.70,1.214,2371.063"
"0.155,1083.446,0.05494,49.70,1.216,2375.787"
"0.156,1085.593,0.05504,49.70,1.219,2380.495"
"0.156,1087.685,0.05513,49.70,1.221,2385.082"
"0.156,1089.775,0.05523,49.70,1.224,2389.665"
"0.156,1091.991,0.05533,49.70,1.226,2394.524"
"0.157,1094.198,0.05543,49.70,1.229,2399.364"
"0.157,1095.009,0.05547,49.70,1.230,2401.143"
"0.166,1094.976,0.05581,49.80,1.238,2401.070"
"0.175,1094.910,0.05598,49.80,1.243,2400.924"
"0.184,1095.083,0.05612,49.90,1.246,2401.304"
"0.193,1094.971,0.05623,49.90,1.249,2401.060"
"0.201,1095.004,0.05629,49.50,1.251,2401.130"
"0.210,1095.028,0.05633,48.90,1.252,2401.185"
"0.219,1094.967,0.05635,48.20,1.252,2401.050"
"0.228,1094.978,0.05636,47.50,1.252,2401.075"
"0.237,1095.012,0.05632,46.40,1.251,2401.148"
"0.246,1094.988,0.05621,44.10,1.249,2401.096"
"0.255,1095.004,0.05611,40.10,1.246,2401.131"
"0.264,1094.980,0.05622,37.00,1.249,2401.078"
"0.273,1094.972,0.05622,34.70,1.249,2401.061"
"0.281,1094.905,0.05631,32.80,1.251,2400.915"
"0.290,1094.937,0.05645,30.40,1.255,2400.985"
"0.299,1095.039,0.05717,27.20,1.273,2401.209"
"0.308,1095.222,0.05709,25.30,1.271,2401.610"
"0.317,1094.394,0.05764,24.50,1.285,2399.794"
"0.326,1094.519,0.05881,21.80,1.314,2400.068"
"0.335,1095.679,0.05922,18.10,1.325,2402.611"
"0.344,1095.015,0.05974,17.60,1.338,2401.156"
"0.353,1094.869,0.05962,19.30,1.335,2400.835"
"0.361,1094.832,0.06098,13.60,1.370,2400.754"
"0.370,1094.763,0.06152,12.00,1.383,2400.603"
"0.379,1094.920,0.06287,9.50,1.418,2400.948"
"0.388,1095.581,0.06583,6.90,1.493,2402.396"
"0.397,1095.016,0.06814,5.50,1.551,2401.157"
"0.406,1093.939,0.07351,3.30,1.688,2398.796"
"0.415,1094.014,0.07848,1.00,1.814,2398.961"
"0.424,1092.809,0.09059,-1.30,2.122,2396.317"
"0.433,1093.445,0.10138,-3.20,2.396,2397.712"
"0.441,1089.165,0.14052,-5.10,3.390,2388.327"
"0.450,1081.240,0.28178,-7.80,6.978,2370.950"
"0.459,1081.886,0.56664,-9.60,14.213,2372.365"
"0.468,1092.958,0.68427,-11.70,17.201,2396.645"
"0.477,1092.974,0.72398,-13.30,18.210,2396.680"
"0.486,1093.347,0.75664,-15.30,19.039,2397.499"
"0.495,1094.002,0.78163,-17.00,19.674,2398.933"
"0.504,1094.332,0.80210,-18.90,20.194,2399.657"
"0.513,1094.299,0.82062,-20.80,20.664,2399.585"
"0.521,1094.432,0.83445,-22.50,21.016,2399.878"
"0.530,1094.146,0.84637,-24.20,21.319,2399.249"
"0.539,1094.554,0.85685,-25.70,21.585,2400.144"
"0.548,1094.571,0.86740,-27.30,21.853,2400.183"
"0.557,1094.443,0.87809,-28.90,22.124,2399.900"
"0.566,1095.318,0.88944,-30.10,22.413,2401.821"
"0.575,1094.094,0.90130,-29.50,22.714,2399.136"
"0.584,1094.784,0.91361,-29.80,23.027,2400.648"
"0.593,1093.975,0.92855,-29.70,23.406,2398.874"
"0.601,1093.965,0.94144,-27.90,23.733,2398.854"
"0.610,1094.635,0.94815,-25.70,23.904,2400.323"
"0.619,1095.050,0.95217,-23.80,24.006,2401.233"
"0.628,1095.396,0.95531,-21.80,24.086,2401.991"
"0.637,1095.292,0.95589,-19.60,24.100,2401.763"
"0.646,1095.235,0.95535,-17.30,24.087,2401.637"
"0.655,1095.201,0.95447,-15.30,24.064,2401.562"
"0.664,1095.102,0.95272,-13.00,24.020,2401.345"
"0.673,1095.140,0.95104,-10.90,23.977,2401.430"
"0.681,1095.087,0.94933,-9.00,23.934,2401.312"
"0.690,1095.100,0.94760,0.00,23.890,2401.342"
"0.699,1095.145,0.94579,-5.50,23.844,2401.440"
"0.708,1095.082,0.94380,0.00,23.793,2401.303"
"0.717,1095.116,0.94161,-1.90,23.738,2401.378"
"0.726,1095.127,0.93924,0.00,23.677,2401.401"
"0.735,1095.162,0.93650,2.00,23.608,2401.477"
"0.744,1095.143,0.93309,4.00,23.521,2401.437"
"0.753,1095.146,0.92984,6.10,23.439,2401.443"
"0.761,1095.182,0.92596,8.20,23.340,2401.523"
"0.770,1095.214,0.92177,10.40,23.234,2401.591"
"0.779,1095.250,0.91673,12.50,23.106,2401.671"
"0.788,1095.330,0.91138,14.70,22.970,2401.846"
"0.797,1095.316,0.90497,16.80,22.807,2401.814"
"0.806,1095.309,0.89773,18.90,22.623,2401.799"
"0.815,1095.429,0.88982,21.00,22.422,2402.063"
"0.824,1095.494,0.87952,23.20,22.161,2402.205"
"0.833,1095.700,0.86727,25.50,21.849,2402.657"
"0.841,1095.952,0.85411,27.50,21.515,2403.209"
"0.850,1096.034,0.83557,29.60,21.044,2403.390"
"0.859,1096.497,0.80905,31.80,20.371,2404.405"
"0.868,1098.802,0.76242,33.90,19.186,2409.459"
"0.877,1108.436,0.59326,36.00,14.890,2430.584"
"0.886,1099.434,0.38503,38.20,9.601,2410.845"
"0.895,1096.673,0.33490,40.50,8.327,2404.792"
"0.904,1096.238,0.30850,42.40,7.657,2403.836"
"0.913,1095.835,0.28720,44.70,7.116,2402.953"
"0.921,1095.562,0.27322,46.70,6.761,2402.355"
"0.930,1095.566,0.25956,48.90,6.413,2402.365"
"0.939,1095.303,0.25298,49.90,6.246,2401.786"
"0.948,1095.216,0.24787,50.50,6.117,2401.596"
"0.957,1095.451,0.24046,50.60,5.929,2402.111"
"0.966,1095.294,0.23099,50.50,5.688,2401.767"
"0.975,1095.584,0.22077,50.50,5.428,2402.402"
"0.984,1095.053,0.21789,49.70,5.355,2401.238"
"0.993,1095.021,0.21738,48.00,5.342,2401.168"
"1.001,1095.012,0.21705,46.30,5.334,2401.148"
"1.010,1095.007,0.21670,44.60,5.325,2401.137"
"1.019,1095.021,0.21692,42.80,5.331,2401.169"
"1.028,1094.998,0.21727,40.70,5.339,2401.118"
"1.037,1094.991,0.21772,38.30,5.351,2401.102"
"1.046,1094.899,0.21880,34.70,5.378,2400.902"
"1.055,1094.881,0.21958,31.10,5.398,2400.862"
"1.064,1095.051,0.22016,28.90,5.413,2401.234"
"1.073,1094.965,0.22116,27.60,5.438,2401.046"
"1.081,1094.548,0.22274,24.70,5.478,2400.132"
"1.090,1094.975,0.22271,23.40,5.478,2401.068"
"1.099,1095.335,0.22467,19.90,5.527,2401.857"
"1.108,1094.906,0.22467,19.70,5.527,2400.917"
"1.117,1095.324,0.22726,15.90,5.593,2401.834"
"1.126,1094.922,0.22813,16.10,5.615,2400.952"
"1.135,1095.663,0.23426,11.30,5.771,2402.576"
"1.144,1095.031,0.23339,12.40,5.749,2401.190"
"1.153,1095.437,0.24372,7.70,6.011,2402.081"
"1.161,1095.165,0.24626,6.40,6.076,2401.485"
"1.170,1095.862,0.25966,3.40,6.416,2403.013"
"1.179,1095.084,0.26607,1.70,6.579,2401.306"
"1.188,1094.669,0.26996,0.60,6.678,2400.396"
"1.197,1094.467,0.28348,-1.30,7.021,2399.954"
"1.206,1094.209,0.30397,-3.10,7.542,2399.389"
"1.215,1093.261,0.33343,-4.80,8.290,2397.309"
"1.224,1092.184,0.37872,-6.40,9.440,2394.948"
"1.233,1087.940,0.47424,-8.40,11.866,2385.641"
"1.241,1086.181,0.60916,-10.00,15.293,2381.783"
"1.250,1090.966,0.71564,-12.10,17.998,2392.276"
"1.259,1093.185,0.77012,-14.00,19.382,2397.142"
"1.268,1093.796,0.80719,-15.80,20.323,2398.483"
"1.277,1093.911,0.83681,-17.80,21.076,2398.735"
"1.286,1093.401,0.86085,-19.60,21.686,2397.617"
"1.295,1093.589,0.88220,-21.40,22.229,2398.027"
"1.304,1094.255,0.90122,-23.20,22.712,2399.488"
"1.313,1094.400,0.91811,-25.50,23.141,2399.807"
"1.321,1094.101,0.93296,-27.20,23.518,2399.151"
"1.330,1094.278,0.94827,-29.20,23.907,2399.539"
"1.339,1095.871,0.95931,-30.30,24.187,2403.033"
"1.348,1095.301,0.96746,-30.00,24.394,2401.782"
"1.357,1095.324,0.97386,-30.10,24.557,2401.834"
"1.366,1093.804,0.98165,-29.50,24.755,2398.500"
"1.375,1094.634,0.98572,-27.60,24.858,2400.321"
"1.384,1094.864,0.98850,-26.00,24.929,2400.825"
"1.393,1094.708,0.98817,-23.40,24.920,2400.481"
"1.401,1095.454,0.98791,-22.00,24.914,2402.118"
"1.410,1094.994,0.98790,-19.40,24.913,2401.109"
"1.419,1095.318,0.98654,-17.50,24.879,2401.819"
"1.428,1094.546,0.98423,-15.20,24.820,2400.126"
"1.437,1095.167,0.98262,-13.10,24.779,2401.488"
"1.446,1095.096,0.98000,-10.90,24.713,2401.332"
"1.455,1094.889,0.97784,-9.00,24.658,2400.880"
"1.464,1095.072,0.97558,0.00,24.600,2401.279"
"1.473,1095.171,0.97317,-5.50,24.539,2401.497"
"1.481,1095.052,0.97051,-3.80,24.472,2401.236"
"1.490,1095.176,0.96746,-1.90,24.394,2401.507"
"1.499,1095.173,0.96392,0.00,24.304,2401.502"
"1.508,1095.212,0.96022,1.90,24.210,2401.587"
"1.517,1095.222,0.95566,4.10,24.094,2401.609"
"1.526,1095.280,0.95060,6.10,23.966,2401.736"
"1.535,1095.399,0.94432,8.20,23.806,2401.997"
"1.544,1095.401,0.93758,10.30,23.635,2402.001"
"1.553,1095.449,0.92958,12.60,23.432,2402.106"
"1.561,1095.653,0.92018,14.70,23.193,2402.555"
"1.570,1095.736,0.90901,16.80,22.910,2402.737"
"1.579,1095.543,0.89476,19.00,22.548,2402.314"
"1.588,1095.900,0.87766,21.10,22.113,2403.096"
"1.597,1096.202,0.85620,23.20,21.568,2403.758"
"1.606,1096.492,0.82477,25.40,20.770,2404.394"
"1.615,1097.808,0.77671,27.60,19.549,2407.281"
"1.624,1101.410,0.69057,29.70,17.361,2415.177"
"1.633,1100.920,0.54337,31.80,13.622,2414.104"
"1.641,1097.568,0.46756,33.90,11.697,2406.754"
"1.650,1096.936,0.42492,36.10,10.614,2405.368"
"1.659,1096.434,0.39222,38.20,9.783,2404.267"
"1.668,1096.264,0.37023,40.20,9.225,2403.893"
"1.677,1095.882,0.35194,42.50,8.760,2403.056"
"1.686,1095.700,0.33754,44.70,8.394,2402.657"
"1.695,1095.581,0.32610,46.70,8.104,2402.397"
"1.704,1095.379,0.31708,48.80,7.875,2401.954"
"1.713,1095.090,0.31287,49.80,7.768,2401.321"
"1.721,1095.096,0.31056,50.40,7.709,2401.333"
"1.730,1095.083,0.30926,50.50,7.676,2401.305"
"1.739,1095.052,0.30813,50.60,7.647,2401.237"
"1.748,1095.036,0.30730,50.50,7.626,2401.202"
"1.757,1095.038,0.30715,49.50,7.622,2401.206"
"1.766,1094.992,0.30732,48.00,7.627,2401.105"
"1.775,1094.918,0.30756,46.30,7.633,2400.943"
"1.784,1094.916,0.30781,44.70,7.639,2400.937"
"1.793,1094.948,0.30819,42.90,7.649,2401.009"
"1.801,1095.023,0.30863,40.90,7.660,2401.172"
"1.810,1094.962,0.30910,38.90,7.672,2401.039"
"1.819,1094.971,0.30994,36.40,7.693,2401.058"
"1.828,1094.729,0.31187,32.30,7.742,2400.528"
"1.837,1094.707,0.31254,29.40,7.759,2400.479"
"1.846,1094.921,0.31265,28.80,7.762,2400.949"
"1.855,1094.877,0.31492,25.00,7.820,2400.853"
"1.864,1095.022,0.31468,24.40,7.814,2401.171"
"1.873,1094.888,0.31674,21.30,7.866,2400.877"
"1.881,1095.203,0.31904,18.40,7.924,2401.568"
"1.890,1095.101,0.32085,16.50,7.970,2401.343"
"1.899,1094.596,0.32361,14.30,8.040,2400.236"
"1.908,1095.070,0.32584,12.60,8.097,2401.276"
"1.917,1094.693,0.33423,9.80,8.310,2400.448"
"1.926,1095.236,0.33998,7.80,8.456,2401.641"
"1.935,1093.674,0.35000,5.70,8.711,2398.215"
"1.944,1094.694,0.35980,3.50,8.960,2400.451"
"1.953,1092.852,0.37467,1.40,9.337,2396.412"
"1.961,1094.193,0.39043,0.00,9.738,2399.352"
"1.970,1092.542,0.41691,0.00,10.410,2395.732"
"1.979,1091.383,0.45512,-5.00,11.381,2393.191"
"1.988,1090.616,0.50383,-6.90,12.618,2391.509"
"1.997,1086.478,0.60122,-9.10,15.092,2382.436"
"2.006,1090.725,0.68413,-11.10,17.198,2391.748"
"2.015,1092.339,0.76405,-13.30,19.228,2395.287"
"2.024,1093.045,0.81023,-15.50,20.401,2396.835"
"2.033,1093.791,0.84615,-17.60,21.313,2398.471"
"2.041,1092.828,0.87809,-19.80,22.124,2396.359"
"2.050,1094.204,0.90093,-21.70,22.704,2399.377"
"2.059,1093.690,0.92337,-23.80,23.274,2398.250"
"2.068,1093.956,0.94007,-25.60,23.699,2398.834"
"2.077,1094.194,0.95724,-27.50,24.135,2399.355"
"2.086,1094.632,0.97261,-29.60,24.525,2400.315"
"2.095,1093.920,0.98106,-29.40,24.740,2398.754"
"2.104,1094.184,0.98719,-29.60,24.895,2399.333"
"2.113,1094.849,0.99362,-30.00,25.059,2400.792"
"2.121,1093.918,0.99952,-29.70,25.208,2398.750"
"2.130,1094.474,1.00459,-29.80,25.337,2399.969"
"2.139,1094.800,1.00868,-28.50,25.441,2400.683"
"2.148,1095.059,1.00839,-26.40,25.434,2401.252"
"2.157,1095.640,1.00977,-25.00,25.469,2402.525"
"2.166,1095.110,1.01040,-22.10,25.485,2401.363"
"2.175,1095.456,1.01122,-20.50,25.506,2402.123"
"2.184,1095.431,1.00780,-17.90,25.419,2402.068"
"2.193,1094.592,1.00629,-15.70,25.381,2400.228"
"2.201,1095.157,1.00391,-13.70,25.320,2401.466"
"2.210,1095.098,1.00183,-11.80,25.267,2401.337"
"2.219,1095.159,0.99952,-9.90,25.209,2401.471"
"2.228,1095.167,0.99704,-8.20,25.146,2401.488"
"2.237,1095.132,0.99419,-6.40,25.073,2401.413"
"2.246,1095.127,0.99081,-4.60,24.987,2401.401"
"2.255,1095.219,0.98703,-2.70,24.891,2401.603"
"2.264,1095.326,0.98265,-0.80,24.780,2401.838"
"2.273,1095.267,0.97816,1.30,24.666,2401.709"
"2.281,1095.290,0.97236,3.40,24.519,2401.758"
"2.290,1095.409,0.96575,5.60,24.351,2402.020"
"2.299,1095.389,0.95823,7.70,24.160,2401.975"
"2.308,1095.556,0.94902,9.80,23.926,2402.341"
"2.317,1095.645,0.93843,11.90,23.657,2402.537"
"2.326,1095.865,0.92545,14.10,23.327,2403.020"
"2.335,1095.945,0.90921,16.20,22.915,2403.194"
"2.344,1096.381,0.88800,18.40,22.376,2404.151"
"2.353,1097.005,0.85709,20.50,21.591,2405.519"
"2.361,1097.557,0.81678,22.60,20.567,2406.728"
"2.370,1099.440,0.74451,24.80,18.731,2410.859"
"2.379,1100.869,0.63880,27.00,16.046,2413.993"
"2.388,1098.578,0.55126,29.10,13.823,2408.969"
"2.397,1096.907,0.50164,31.20,12.562,2405.305"
"2.406,1096.578,0.46707,33.40,11.684,2404.583"
"2.415,1096.435,0.44197,35.50,11.047,2404.270"
"2.424,1096.023,0.42071,37.70,10.507,2403.366"
"2.433,1095.949,0.40363,39.70,10.073,2403.202"
"2.441,1095.656,0.39057,41.80,9.741,2402.561"
"2.450,1095.588,0.37927,44.00,9.454,2402.412"
"2.459,1095.311,0.37068,46.30,9.236,2401.805"
"2.468,1095.270,0.36527,48.40,9.099,2401.714"
"2.477,1095.066,0.36157,49.60,9.005,2401.267"
"2.486,1095.072,0.35995,50.40,8.963,2401.279"
"2.495,1095.008,0.35909,50.60,8.942,2401.140"
"2.504,1094.996,0.35843,50.60,8.925,2401.113"
"2.513,1095.091,0.35791,50.50,8.912,2401.323"
"2.521,1094.989,0.35760,50.10,8.904,2401.098"
"2.530,1094.978,0.35786,48.60,8.910,2401.073"
"2.539,1094.976,0.35816,47.10,8.918,2401.070"
"2.548,1094.992,0.35846,45.50,8.926,2401.104"
"2.557,1094.975,0.35876,44.00,8.933,2401.068"
"2.566,1094.958,0.35914,42.40,8.943,2401.030"
"2.575,1094.993,0.35954,40.80,8.953,2401.106"
"2.584,1094.992,0.35998,39.00,8.964,2401.105"
"2.593,1094.987,0.36022,37.80,8.970,2401.095"
"2.601,1094.981,0.36074,36.30,8.984,2401.081"
"2.610,1094.929,0.36219,33.50,9.020,2400.967"
"2.619,1094.849,0.36617,28.50,9.121,2400.790"
"2.628,1095.041,0.36549,27.50,9.104,2401.212"
"2.637,1095.015,0.36526,27.70,9.098,2401.156"
"2.646,1094.894,0.36581,26.10,9.112,2400.890"
"2.655,1094.991,0.36625,24.40,9.123,2401.103"
"2.664,1093.715,0.37670,18.60,9.389,2398.304"
"2.673,1095.077,0.37738,17.50,9.406,2401.292"
"2.681,1094.332,0.38241,14.70,9.534,2399.657"
"2.690,1094.277,0.38339,13.40,9.559,2399.537"
"2.699,1094.921,0.39322,10.70,9.809,2400.948"
"2.708,1093.233,0.40675,8.00,10.152,2397.248"
"2.717,1094.581,0.40876,7.40,10.203,2400.204"
"2.726,1095.763,0.42748,3.30,10.679,2402.796"
"2.735,1096.307,0.45143,0.90,11.287,2403.989"
"2.744,1094.654,0.46231,0.40,11.563,2400.364"
"2.753,1094.746,0.49798,-2.00,12.469,2400.566"
"2.761,1079.942,0.55275,-5.20,13.861,2368.104"
"2.770,1093.080,0.57154,-5.90,14.338,2396.912"
"2.779,1094.842,0.67492,-9.20,16.964,2400.776"
"2.788,1088.442,0.75675,-11.40,19.042,2386.741"
"2.797,1087.786,0.80514,-13.60,20.271,2385.303"
"2.806,1093.781,0.83703,-15.00,21.081,2398.449"
"2.815,1094.925,0.87764,-17.60,22.113,2400.958"
"2.824,1093.410,0.90778,-19.40,22.878,2397.636"
"2.833,1093.229,0.92771,-21.50,23.385,2397.239"
"2.841,1093.678,0.94570,-24.10,23.841,2398.224"
"2.850,1094.794,0.96441,-25.60,24.317,2400.670"
"2.859,1096.057,0.98443,-28.70,24.825,2403.440"
"2.868,1092.925,0.99422,-29.50,25.074,2396.573"
"2.877,1094.609,1.00093,-28.70,25.244,2400.264"
"2.886,1095.174,1.00802,-29.60,25.424,2401.504"
"2.895,1092.713,1.01418,-29.30,25.581,2396.107"
"2.904,1094.800,1.01734,-28.50,25.661,2400.684"
"2.913,1093.982,1.02507,-29.70,25.858,2398.890"
"2.921,1095.681,1.02457,-28.70,25.845,2402.617"
"2.930,1095.712,1.02573,-26.70,25.874,2402.684"
"2.939,1094.575,1.02833,-24.70,25.940,2400.191"
"2.948,1095.234,1.02404,-21.90,25.831,2401.635"
"2.957,1095.565,1.02411,-20.30,25.833,2402.362"
"2.966,1094.639,1.02090,-17.60,25.752,2400.331"
"2.975,1094.693,1.01951,-15.50,25.716,2400.449"
"2.984,1095.248,1.01685,-13.60,25.649,2401.666"
"2.993,1095.084,1.01427,-11.50,25.583,2401.307"
"3.001,1095.119,1.01168,-9.60,25.517,2401.384"
"3.010,1095.122,1.00875,-7.90,25.443,2401.390"
"3.019,1095.180,1.00546,-6.20,25.359,2401.517"
"3.028,1095.172,1.00186,-4.40,25.268,2401.500"
"3.037,1095.277,0.99778,-2.60,25.164,2401.729"
"3.046,1095.278,0.99277,-0.70,25.037,2401.731"
"3.055,1095.304,0.98777,1.40,24.910,2401.789"
"3.064,1095.351,0.98135,3.60,24.747,2401.892"
"3.073,1095.522,0.97385,5.60,24.556,2402.267"
"3.081,1095.615,0.96470,7.70,24.324,2402.471"
"3.090,1095.669,0.95387,9.80,24.049,2402.588"
"3.099,1095.928,0.94068,11.90,23.714,2403.156"
"3.108,1096.093,0.92347,14.10,23.277,2403.519"
"3.117,1096.379,0.90176,16.20,22.726,2404.146"
"3.126,1097.223,0.87124,18.50,21.950,2405.998"
"3.135,1097.859,0.82941,20.60,20.888,2407.392"
"3.144,1098.998,0.75508,22.80,19.000,2409.890"
"3.153,1099.831,0.65985,24.90,16.581,2411.717"
"3.161,1098.201,0.58171,27.00,14.596,2408.141"
"3.170,1097.249,0.53442,29.10,13.395,2406.055"
"3.179,1096.593,0.49924,31.30,12.502,2404.616"
"3.188,1096.378,0.47530,33.50,11.893,2404.145"
"3.197,1095.927,0.45418,35.60,11.357,2403.156"
"3.206,1095.623,0.43749,37.70,10.933,2402.488"
"3.215,1095.567,0.42531,39.80,10.624,2402.366"
"3.224,1095.399,0.41400,42.00,10.336,2401.998"
"3.233,1095.331,0.40550,44.10,10.120,2401.849"
"3.241,1095.324,0.39924,46.30,9.961,2401.833"
"3.250,1095.241,0.39443,48.40,9.839,2401.651"
"3.259,1095.003,0.39238,49.80,9.787,2401.128"
"3.268,1095.070,0.39145,50.30,9.764,2401.275"
"3.277,1095.014,0.39098,50.60,9.752,2401.154"
"3.286,1095.043,0.39061,50.60,9.742,2401.217"
"3.295,1094.917,0.39032,50.50,9.735,2400.941"
"3.304,1094.964,0.39039,49.90,9.737,2401.044"
"3.313,1094.935,0.39069,48.50,9.744,2400.980"
"3.321,1094.974,0.39104,46.90,9.753,2401.065"
"3.330,1094.914,0.39137,45.40,9.762,2400.934"
"3.339,1094.981,0.39174,43.80,9.771,2401.080"
"3.348,1094.968,0.39217,42.20,9.782,2401.053"
"3.357,1094.968,0.39255,40.60,9.792,2401.052"
"3.366,1094.989,0.39307,38.90,9.805,2401.099"
"3.375,1094.978,0.39358,37.30,9.818,2401.073"
"3.384,1094.949,0.39412,35.70,9.831,2401.011"
"3.393,1094.871,0.39519,33.30,9.859,2400.839"
"3.401,1094.767,0.39789,29.20,9.927,2400.611"
"3.410,1094.663,0.39997,25.60,9.980,2400.384"
"3.419,1094.748,0.40123,23.70,10.012,2400.570"
"3.428,1094.967,0.40313,21.50,10.060,2401.050"
"3.437,1094.308,0.40707,19.30,10.160,2399.604"
"3.446,1094.685,0.40773,18.10,10.177,2400.432"
"3.455,1094.891,0.41437,14.80,10.346,2400.883"
"3.464,1093.751,0.41947,12.90,10.475,2398.384"
"3.473,1095.055,0.42329,11.20,10.572,2401.243"
"3.481,1093.423,0.43796,8.60,10.945,2397.665"
"3.490,1094.789,0.43834,7.70,10.955,2400.660"
"3.499,1093.353,0.45791,4.10,11.452,2397.511"
"3.508,1091.841,0.46769,2.30,11.700,2394.195"
"3.517,1094.828,0.48581,0.40,12.160,2400.745"
"3.526,1092.690,0.51269,-2.00,12.843,2396.058"
"3.535,1095.023,0.54888,-4.50,13.762,2401.173"
"3.544,1092.029,0.57726,-6.00,14.483,2394.608"
"3.553,1090.119,0.65902,-8.30,16.560,2390.420"
"3.561,1091.155,0.73127,-10.90,18.395,2392.690"
"3.570,1094.106,0.77687,-12.40,19.553,2399.162"
"3.579,1096.368,0.83777,-15.20,21.100,2404.123"
"3.588,1092.765,0.86702,-17.00,21.843,2396.221"
"3.597,1092.584,0.90235,-19.30,22.740,2395.825"
"3.606,1092.992,0.91880,-21.00,23.158,2396.720"
"3.615,1093.649,0.95148,-23.70,23.988,2398.160"
"3.624,1093.991,0.96914,-25.70,24.437,2398.909"
"3.633,1094.056,0.98574,-27.70,24.859,2399.053"
"3.641,1095.417,1.00256,-30.00,25.286,2402.037"
"3.650,1094.729,1.00914,-29.90,25.453,2400.528"
"3.659,1094.805,1.01397,-29.90,25.576,2400.694"
"3.668,1094.204,1.01800,-29.40,25.678,2399.377"
"3.677,1093.554,1.02143,-29.50,25.765,2397.952"
